7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1515964440,+3.46,+14.749, +1.795,+0.977
1515965340,+3.46,+15.197, +1.891,+0.980
1515966240,+3.46,+15.325, +1.868,+0.980
1515967140,+3.46,+15.257, +1.906,+0.980
1515968040,+3.46,+15.050, +1.864,+0.980
1515968940,+3.46,+15.050, +1.757,+0.980
1515969840,+3.46,+15.171, +1.707,+0.979
1515970740,+3.46,+15.085, +1.560,+0.978
1515971640,+3.46,+15.136, +1.493,+0.977
1515972540,+3.46,+15.420, +1.591,+0.979
1515973440,+3.46,+15.488, +1.472,+0.977
1515974340,+3.46,+15.540, +1.352,+0.976
1515975240,+3.46,+15.540, +1.550,+0.978
1515976140,+3.46,+15.428, +1.332,+0.976
1515977040,+3.46,+15.548, +1.284,+0.976
1515977940,+3.46,+15.608, +1.298,+0.976
1515978840,+3.46,+15.745, +1.313,+0.976
1515979740,+3.46,+15.941, +1.208,+0.976
1515980640,+3.46,+16.069, +1.099,+0.975
1515981540,+3.46,+16.069, +1.013,+0.974
1515982440,+3.46,+16.044, +0.918,+0.973
1515983340,+3.46,+15.967, +0.780,+0.970
1515984240,+3.46,+15.788, +0.732,+0.969
1515985140,+3.46,+15.839, +0.727,+0.970
1515986040,+3.46,+15.813, +0.721,+0.970
1515986940,+3.46,+15.848, +0.795,+0.972
1515987840,+3.46,+15.822, +0.801,+0.972
1515988740,+3.46,+15.967, +1.008,+0.974
1515989640,+3.46,+15.933, +1.360,+0.974
1515990540,+3.46,+15.856, +1.241,+0.976
1515991440,+3.46,+15.796, +1.283,+0.976
1515992340,+3.46,+15.779, +1.212,+0.976
1515993240,+3.46,+15.771, +1.061,+0.975
1515994140,+3.46,+15.848, +1.314,+0.976
1515995040,+3.46,+15.856, +1.142,+0.975
1515995940,+3.46,+15.745, +1.021,+0.974
1515996840,+3.46,+15.745, +0.914,+0.971
1515997740,+3.46,+15.745, +1.277,+0.977
1515998640,+3.46,+15.728, +1.086,+0.975
1515999540,+3.46,+15.830, +1.253,+0.977
1516000440,+3.46,+15.796, +1.273,+0.977
1516001340,+3.46,+15.754, +1.082,+0.975
1516002240,+3.46,+15.796, +0.993,+0.974
1516003140,+3.46,+15.813, +0.920,+0.973
1516004040,+3.46,+15.745, +1.024,+0.974
1516004940,+3.46,+15.668, +1.181,+0.976
1516005840,+3.46,+15.642, +1.261,+0.976
1516006740,+3.46,+15.762, +1.137,+0.976
1516007640,+3.46,+15.856, +1.090,+0.976
1516008540,+3.46,+15.882, +1.336,+0.977
1516009440,+3.46,+15.865, +1.190,+0.977
1516010340,+3.46,+15.796, +1.293,+0.977
1516011240,+3.46,+15.822, +1.207,+0.977
1516012140,+3.46,+15.625, +1.273,+0.977
1516013040,+3.46,+15.514, +1.311,+0.978
1516013940,+3.46,+15.548, +1.358,+0.977
1516014840,+3.46,+15.514, +1.372,+0.978
1516015740,+3.46,+15.514, +1.192,+0.977
1516016640,+3.46,+15.394, +1.105,+0.976
1516017540,+3.46,+15.342, +1.185,+0.977
1516018440,+3.46,+15.334, +1.132,+0.976
1516019340,+3.46,+15.360, +1.048,+0.976
1516020240,+3.46,+15.239, +1.177,+0.977
1516021140,+3.46,+15.291, +1.307,+0.978
1516022040,+3.46,+15.171, +1.267,+0.978
1516022940,+3.46,+14.999, +1.486,+0.978
1516023840,+3.46,+15.111, +1.416,+0.979
1516024740,+3.46,+14.999, +1.390,+0.979
1516025640,+3.46,+15.042, +1.373,+0.979
1516026540,+3.46,+14.947, +1.505,+0.979
1516027440,+3.46,+14.784, +1.399,+0.979
1516028340,+3.46,+14.999, +1.265,+0.978
1516029240,+3.45,+14.844, +1.366,+0.978
1516030140,+3.46,+14.775, +1.411,+0.979
1516031040,+3.46,+14.887, +1.259,+0.978
1516031940,+3.46,+14.896, +1.145,+0.977
1516032840,+3.46,+14.947, +1.066,+0.976
1516033740,+3.45,+14.956, +1.017,+0.975
1516034640,+3.46,+14.956, +1.095,+0.976
1516035540,+3.46,+14.999, +1.073,+0.976
1516036440,+3.46,+14.913, +1.013,+0.975
1516037340,+3.46,+14.611, +0.795,+0.971
1516038240,+3.45,+14.369, +0.693,+0.968
1516039140,+3.46,+14.386, +1.112,+0.976
1516040040,+3.45,+14.766, +0.973,+0.975
1516040940,+3.46,+15.033, +0.834,+0.973
1516041840,+3.45,+14.956, +0.728,+0.971
1516042740,+3.46,+14.715, +0.619,+0.968
1516043640,+3.46,+14.525, +0.540,+0.967
1516044540,+3.45,+14.473, +0.437,+0.964
1516045440,+3.45,+14.533, +0.790,+0.972
1516046340,+3.45,+14.481, +0.685,+0.970
1516047240,+3.46,+14.689, +1.018,+0.974
1516048140,+3.45,+14.896, +0.729,+0.971
1516049040,+3.45,+15.222, +0.782,+0.972
1516049940,+3.46,+15.179, +0.891,+0.973
1516050840,+3.45,+15.102, +1.223,+0.975
