"Plot Title: Level 20028982"
"#","Date Time, GMT-08:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)","Coupler Detached (LGR S/N: 20028982)","Coupler Attached (LGR S/N: 20028982)","Host Connected (LGR S/N: 20028982)","Stopped (LGR S/N: 20028982)","End Of File (LGR S/N: 20028982)"
1,02/12/18 12:00:00 PM,921.59,15.855,Logged,,,,
2,02/12/18 12:15:00 PM,921.47,15.855,,,,,
3,02/12/18 12:30:00 PM,920.97,15.855,,,,,
4,02/12/18 12:45:00 PM,920.84,15.855,,,,,
5,02/12/18 01:00:00 PM,920.97,15.855,,,,,
6,02/12/18 01:15:00 PM,920.60,15.855,,,,,
7,02/12/18 01:30:00 PM,920.60,15.855,,,,,
8,02/12/18 01:45:00 PM,920.47,15.855,,,,,
9,02/12/18 02:00:00 PM,920.43,15.760,,,,,
10,02/12/18 02:15:00 PM,920.43,15.760,,,,,
11,02/12/18 02:30:00 PM,920.35,15.855,,,,,
12,02/12/18 02:45:00 PM,920.47,15.855,,,,,
13,02/12/18 03:00:00 PM,920.10,15.855,,,,,
14,02/12/18 03:15:00 PM,920.22,15.855,,,,,
15,02/12/18 03:30:00 PM,920.31,15.760,,,,,
16,02/12/18 03:45:00 PM,920.22,15.855,,,,,
17,02/12/18 04:00:00 PM,920.35,15.855,,,,,
18,02/12/18 04:15:00 PM,920.72,15.855,,,,,
19,02/12/18 04:30:00 PM,920.60,15.855,,,,,
20,02/12/18 04:45:00 PM,920.84,15.855,,,,,
21,02/12/18 05:00:00 PM,920.93,15.760,,,,,
22,02/12/18 05:15:00 PM,920.93,15.760,,,,,
23,02/12/18 05:30:00 PM,921.30,15.760,,,,,
24,02/12/18 05:45:00 PM,921.18,15.760,,,,,
25,02/12/18 06:00:00 PM,921.71,15.855,,,,,
26,02/12/18 06:15:00 PM,921.84,15.855,,,,,
27,02/12/18 06:30:00 PM,921.96,15.855,,,,,
28,02/12/18 06:45:00 PM,922.09,15.855,,,,,
29,02/12/18 07:00:00 PM,922.30,15.760,,,,,
30,02/12/18 07:15:00 PM,922.42,15.760,,,,,
31,02/12/18 07:30:00 PM,922.58,15.855,,,,,
32,02/12/18 07:45:00 PM,922.70,15.855,,,,,
33,02/12/18 08:00:00 PM,922.70,15.855,,,,,
34,02/12/18 08:15:00 PM,923.08,15.855,,,,,
35,02/12/18 08:30:00 PM,923.12,15.951,,,,,
36,02/12/18 08:45:00 PM,923.21,15.855,,,,,
37,02/12/18 09:00:00 PM,923.33,15.855,,,,,
38,02/12/18 09:15:00 PM,923.57,15.855,,,,,
39,02/12/18 09:30:00 PM,923.57,15.855,,,,,
40,02/12/18 09:45:00 PM,923.70,15.855,,,,,
41,02/12/18 10:00:00 PM,923.95,15.855,,,,,
42,02/12/18 10:15:00 PM,923.82,15.855,,,,,
43,02/12/18 10:30:00 PM,923.95,15.855,,,,,
44,02/12/18 10:45:00 PM,923.95,15.855,,,,,
45,02/12/18 11:00:00 PM,924.08,15.855,,,,,
46,02/12/18 11:15:00 PM,924.08,15.855,,,,,
47,02/12/18 11:30:00 PM,924.20,15.855,,,,,
48,02/12/18 11:45:00 PM,924.44,15.855,,,,,
49,02/13/18 12:00:00 AM,924.44,15.855,,,,,
50,02/13/18 12:15:00 AM,924.44,15.855,,,,,
51,02/13/18 12:30:00 AM,924.44,15.855,,,,,
52,02/13/18 12:45:00 AM,924.69,15.855,,,,,
53,02/13/18 01:00:00 AM,924.69,15.855,,,,,
54,02/13/18 01:15:00 AM,924.94,15.855,,,,,
55,02/13/18 01:30:00 AM,924.94,15.855,,,,,
56,02/13/18 01:45:00 AM,925.07,15.855,,,,,
57,02/13/18 02:00:00 AM,925.31,15.855,,,,,
58,02/13/18 02:15:00 AM,925.31,15.855,,,,,
59,02/13/18 02:30:00 AM,925.44,15.855,,,,,
60,02/13/18 02:45:00 AM,925.44,15.855,,,,,
