7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1518130380,+3.46,+17.782, +8.951,+0.976
1518131280,+3.46,+17.841, +8.953,+0.976
1518132180,+3.46,+17.917, +8.952,+0.976
1518133080,+3.46,+18.035, +8.939,+0.976
1518133980,+3.46,+18.086, +8.923,+0.975
1518134880,+3.47,+18.128, +8.920,+0.975
1518135780,+3.46,+18.119, +8.929,+0.976
1518136680,+3.46,+18.027, +8.951,+0.976
1518137580,+3.46,+17.934, +8.958,+0.976
1518138480,+3.46,+17.875, +8.955,+0.975
1518139380,+3.46,+17.875, +8.969,+0.977
1518140280,+3.46,+17.757, +8.974,+0.975
1518141180,+3.46,+17.732, +8.964,+0.976
1518142080,+3.46,+17.732, +8.971,+0.977
1518142980,+3.46,+17.749, +8.955,+0.977
1518143880,+3.46,+17.757, +8.927,+0.975
1518144780,+3.46,+17.732, +8.926,+0.975
1518145680,+3.46,+17.749, +8.927,+0.976
1518146580,+3.47,+17.749, +8.911,+0.975
1518147480,+3.47,+17.749, +8.895,+0.975
1518148380,+3.47,+17.749, +8.896,+0.976
1518149280,+3.47,+17.799, +8.900,+0.976
1518150180,+3.46,+17.799, +8.874,+0.975
1518151080,+3.47,+17.833, +8.863,+0.976
1518151980,+3.47,+17.934, +8.857,+0.976
1518152880,+3.47,+18.061, +8.818,+0.976
1518153780,+3.47,+18.136, +8.798,+0.976
1518154680,+3.47,+18.162, +8.807,+0.977
1518155580,+3.47,+18.170, +8.796,+0.977
1518156480,+3.47,+18.178, +8.793,+0.976
1518157380,+3.47,+18.162, +8.815,+0.977
1518158280,+3.47,+18.128, +8.827,+0.976
1518159180,+3.47,+18.111, +8.841,+0.976
1518160080,+3.47,+18.086, +8.868,+0.976
1518160980,+3.47,+18.069, +8.884,+0.977
1518161880,+3.47,+18.002, +8.902,+0.976
1518162780,+3.47,+17.968, +8.904,+0.975
1518163680,+3.47,+17.892, +8.923,+0.976
1518164580,+3.47,+17.816, +8.929,+0.975
1518165480,+3.47,+17.732, +8.966,+0.976
1518166380,+3.47,+17.639, +9.006,+0.977
1518167280,+3.47,+17.630, +9.005,+0.977
1518168180,+3.47,+17.580, +9.029,+0.977
1518169080,+3.47,+17.588, +9.031,+0.977
1518169980,+3.47,+17.689, +9.001,+0.976
1518170880,+3.47,+17.740, +9.018,+0.977
1518171780,+3.47,+17.841, +8.979,+0.976
1518172680,+3.47,+17.841, +8.964,+0.976
1518173580,+3.47,+17.732, +9.000,+0.977
1518174480,+3.47,+17.715, +9.011,+0.978
1518175380,+3.47,+17.681, +8.995,+0.977
1518176280,+3.47,+17.639, +8.998,+0.976
1518177180,+3.47,+17.521, +9.015,+0.977
1518178080,+3.47,+17.394, +9.032,+0.977
1518178980,+3.46,+17.428, +9.023,+0.978
1518179880,+3.47,+17.182, +9.035,+0.976
1518180780,+3.47,+17.021, +9.080,+0.977
1518181680,+3.47,+16.775, +9.138,+0.978
1518182580,+3.47,+16.699, +9.122,+0.977
1518183480,+3.47,+16.402, +9.181,+0.978
1518184380,+3.47,+16.325, +9.173,+0.976
1518185280,+3.46,+16.214, +9.186,+0.977
1518186180,+3.47,+16.027, +9.210,+0.976
1518187080,+3.47,+16.044, +9.217,+0.977
1518187980,+3.47,+15.933, +9.225,+0.976
1518188880,+3.47,+15.967, +9.228,+0.977
1518189780,+3.47,+15.916, +9.219,+0.977
1518190680,+3.47,+15.813, +9.221,+0.976
1518191580,+3.46,+15.873, +9.191,+0.976
1518192480,+3.46,+15.856, +9.182,+0.977
1518193380,+3.46,+15.351, +9.260,+0.976
1518194280,+3.46,+14.852, +9.349,+0.976
1518195180,+3.46,+14.818, +9.359,+0.977
1518196080,+3.46,+15.059, +9.279,+0.976
1518196980,+3.46,+15.145, +9.241,+0.977
1518197880,+3.46,+15.068, +9.250,+0.977
1518198780,+3.46,+15.068, +9.227,+0.977
1518199680,+3.46,+15.025, +9.216,+0.977
1518200580,+3.46,+14.956, +9.230,+0.976
1518201480,+3.46,+15.102, +9.187,+0.977
1518202380,+3.46,+15.205, +9.162,+0.977
1518203280,+3.46,+15.342, +9.116,+0.977
1518204180,+3.46,+15.634, +9.064,+0.977
1518205080,+3.46,+15.771, +9.038,+0.976
1518205980,+3.46,+15.873, +9.012,+0.977
1518206880,+3.46,+15.899, +8.991,+0.976
1518207780,+3.46,+16.061, +8.976,+0.976
1518208680,+3.46,+16.112, +8.973,+0.976
1518209580,+3.46,+16.155, +8.965,+0.977
1518210480,+3.46,+16.197, +8.948,+0.976
1518211380,+3.46,+16.214, +8.950,+0.977
1518212280,+3.46,+16.172, +8.957,+0.977
1518213180,+3.46,+16.180, +8.955,+0.976
1518214080,+3.46,+16.069, +9.011,+0.977
1518214980,+3.46,+16.112, +8.979,+0.976
1518215880,+3.46,+16.121, +8.978,+0.976
1518216780,+3.46,+16.257, +8.928,+0.975
