7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1518807900,+3.46,+14.689, +8.583,+0.975
1518808800,+3.46,+14.775, +8.612,+0.976
1518809700,+3.46,+14.576, +8.316,+0.975
1518810600,+3.46,+14.654, +8.260,+0.975
1518811500,+3.46,+15.136, +8.504,+0.976
1518812400,+3.46,+14.801, +8.209,+0.975
1518813300,+3.46,+14.913, +8.205,+0.974
1518814200,+3.46,+14.852, +7.882,+0.974
1518815100,+3.46,+15.188, +7.706,+0.975
1518816000,+3.46,+15.651, +8.097,+0.975
1518816900,+3.46,+16.035, +8.281,+0.975
1518817800,+3.46,+16.563, +8.503,+0.975
1518818700,+3.46,+16.665, +8.603,+0.975
1518819600,+3.46,+16.920, +8.533,+0.976
1518820500,+3.46,+17.021, +8.736,+0.976
1518821400,+3.46,+17.123, +8.847,+0.976
1518822300,+3.46,+17.199, +8.750,+0.976
1518823200,+3.46,+17.267, +8.966,+0.974
1518824100,+3.46,+17.089, +8.860,+0.976
1518825000,+3.46,+16.979, +8.529,+0.974
1518825900,+3.46,+16.979, +8.507,+0.975
1518826800,+3.46,+16.996, +8.469,+0.975
1518827700,+3.46,+16.792, +8.401,+0.975
1518828600,+3.46,+16.860, +8.260,+0.975
1518829500,+3.46,+17.055, +8.127,+0.975
1518830400,+3.46,+16.979, +8.705,+0.976
1518831300,+3.46,+16.869, +8.991,+0.976
1518832200,+3.46,+16.877, +8.719,+0.975
1518833100,+3.46,+16.920, +8.546,+0.976
1518834000,+3.46,+16.962, +8.512,+0.976
1518834900,+3.46,+16.954, +8.391,+0.975
1518835800,+3.46,+16.954, +8.039,+0.976
1518836700,+3.46,+16.971, +8.551,+0.976
1518837600,+3.46,+16.945, +8.496,+0.975
1518838500,+3.46,+16.971, +8.408,+0.975
1518839400,+3.46,+17.021, +8.216,+0.976
1518840300,+3.46,+17.047, +8.739,+0.976
1518841200,+3.46,+17.106, +9.102,+0.975
1518842100,+3.46,+17.174, +8.691,+0.974
1518843000,+3.46,+17.182, +8.289,+0.975
1518843900,+3.46,+17.174, +8.532,+0.975
1518844800,+3.46,+17.148, +8.711,+0.975
1518845700,+3.46,+17.047, +9.020,+0.975
1518846600,+3.46,+16.996, +8.761,+0.975
1518847500,+3.46,+16.954, +8.400,+0.975
1518848400,+3.46,+16.852, +8.589,+0.976
1518849300,+3.46,+16.784, +8.612,+0.974
1518850200,+3.46,+16.767, +8.484,+0.976
1518851100,+3.46,+16.733, +8.358,+0.976
1518852000,+3.46,+16.708, +8.495,+0.975
1518852900,+3.46,+16.759, +8.439,+0.976
1518853800,+3.46,+16.775, +8.686,+0.975
1518854700,+3.46,+16.843, +8.802,+0.976
1518855600,+3.46,+16.835, +8.678,+0.976
1518856500,+3.46,+16.843, +8.863,+0.976
1518857400,+3.46,+16.928, +9.246,+0.977
1518858300,+3.46,+16.860, +9.641,+0.976
1518859200,+3.46,+16.767, +9.861,+0.975
1518860100,+3.46,+16.640,+10.211,+0.975
1518861000,+3.46,+16.597,+10.171,+0.975
1518861900,+3.46,+16.631, +9.890,+0.976
1518862800,+3.46,+16.691, +9.954,+0.976
1518863700,+3.46,+16.385,+10.622,+0.977
1518864600,+3.46,+16.121,+10.048,+0.975
1518865500,+3.46,+16.138, +9.615,+0.976
1518866400,+3.46,+16.265, +9.534,+0.976
1518867300,+3.46,+16.078, +9.523,+0.977
1518868200,+3.46,+16.078, +9.718,+0.976
1518869100,+3.46,+15.959, +9.295,+0.976
1518870000,+3.46,+15.754, +9.264,+0.975
1518870900,+3.46,+15.600, +9.477,+0.976
1518871800,+3.46,+15.557, +9.602,+0.976
1518872700,+3.46,+15.402, +9.493,+0.976
1518873600,+3.46,+15.154, +9.067,+0.976
1518874500,+3.46,+14.602, +8.768,+0.975
1518875400,+3.46,+14.438, +8.562,+0.976
1518876300,+3.46,+14.395, +8.284,+0.976
1518877200,+3.46,+14.533, +8.134,+0.977
1518878100,+3.46,+14.507, +8.021,+0.977
1518879000,+3.46,+14.481, +7.973,+0.976
1518879900,+3.46,+14.438, +7.758,+0.976
1518880800,+3.46,+14.455, +7.817,+0.977
1518881700,+3.46,+14.473, +7.904,+0.976
1518882600,+3.46,+14.516, +8.132,+0.976
1518883500,+3.46,+14.611, +8.253,+0.977
1518884400,+3.46,+14.594, +8.061,+0.976
1518885300,+3.46,+14.542, +8.378,+0.976
1518886200,+3.46,+14.447, +8.145,+0.976
1518887100,+3.46,+14.395, +7.809,+0.977
1518888000,+3.46,+14.204, +8.826,+0.975
1518888900,+3.46,+14.014, +8.802,+0.977
1518889800,+3.46,+13.909, +8.501,+0.977
1518890700,+3.46,+13.779, +8.154,+0.976
1518891600,+3.46,+14.118, +8.213,+0.978
1518892500,+3.46,+14.196, +7.797,+0.976
1518893400,+3.46,+14.239, +8.057,+0.976
1518894300,+3.46,+14.360, +7.840,+0.977
