"Plot Title: Level 20028982"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Press)","Temp, °C (LGR S/N: 20028982, SEN S/N: 20028982, LBL: Audu01 Temp)","End Of File (LGR S/N: 20028982)"
1,04/05/18 02:00:00 PM,898.92,15.951,
2,04/05/18 02:15:00 PM,898.92,15.951,
3,04/05/18 02:30:00 PM,898.80,15.951,
4,04/05/18 02:45:00 PM,898.67,15.951,
5,04/05/18 03:00:00 PM,898.42,15.951,
6,04/05/18 03:15:00 PM,898.55,15.951,
7,04/05/18 03:30:00 PM,898.55,15.951,
8,04/05/18 03:45:00 PM,898.06,15.951,
9,04/05/18 04:00:00 PM,897.81,15.951,
10,04/05/18 04:15:00 PM,897.43,15.951,
11,04/05/18 04:30:00 PM,897.56,15.951,
12,04/05/18 04:45:00 PM,897.56,15.951,
13,04/05/18 05:00:00 PM,897.56,15.951,
14,04/05/18 05:15:00 PM,897.43,15.951,
15,04/05/18 05:30:00 PM,897.56,15.951,
16,04/05/18 05:45:00 PM,897.43,15.951,
17,04/05/18 06:00:00 PM,897.31,15.951,
18,04/05/18 06:15:00 PM,897.19,15.951,
19,04/05/18 06:30:00 PM,897.07,15.951,
20,04/05/18 06:45:00 PM,896.94,15.951,
21,04/05/18 07:00:00 PM,897.07,15.951,
22,04/05/18 07:15:00 PM,896.94,15.951,
23,04/05/18 07:30:00 PM,897.07,15.951,
24,04/05/18 07:45:00 PM,896.94,15.951,
25,04/05/18 08:00:00 PM,897.07,15.951,
26,04/05/18 08:15:00 PM,897.19,15.951,
27,04/05/18 08:30:00 PM,897.43,15.951,
28,04/05/18 08:45:00 PM,897.19,15.951,
29,04/05/18 09:00:00 PM,897.31,15.951,
30,04/05/18 09:15:00 PM,897.19,15.951,
31,04/05/18 09:30:00 PM,897.19,15.951,
32,04/05/18 09:45:00 PM,897.31,15.951,
33,04/05/18 10:00:00 PM,897.68,15.951,
34,04/05/18 10:15:00 PM,897.68,15.951,
35,04/05/18 10:30:00 PM,897.56,15.951,
36,04/05/18 10:45:00 PM,897.56,15.951,
37,04/05/18 11:00:00 PM,897.81,15.951,
38,04/05/18 11:15:00 PM,897.68,15.951,
39,04/05/18 11:30:00 PM,897.56,15.951,
40,04/05/18 11:45:00 PM,897.56,15.951,
41,04/06/18 12:00:00 AM,897.19,15.951,
42,04/06/18 12:15:00 AM,896.94,15.951,
43,04/06/18 12:30:00 AM,896.82,15.951,
44,04/06/18 12:45:00 AM,896.82,15.951,
45,04/06/18 01:00:00 AM,897.19,15.951,
46,04/06/18 01:15:00 AM,897.31,15.951,
47,04/06/18 01:30:00 AM,897.43,15.951,
48,04/06/18 01:45:00 AM,897.31,15.951,
49,04/06/18 02:00:00 AM,897.31,15.951,
50,04/06/18 02:15:00 AM,897.31,15.951,
51,04/06/18 02:30:00 AM,897.31,15.951,
52,04/06/18 02:45:00 AM,897.19,15.951,
53,04/06/18 03:00:00 AM,897.07,15.951,
54,04/06/18 03:15:00 AM,897.43,15.951,
55,04/06/18 03:30:00 AM,897.43,15.951,
56,04/06/18 03:45:00 AM,897.43,15.951,
57,04/06/18 04:00:00 AM,897.43,15.951,
58,04/06/18 04:15:00 AM,897.43,15.951,
59,04/06/18 04:30:00 AM,897.81,15.951,
60,04/06/18 04:45:00 AM,897.56,15.951,
61,04/06/18 05:00:00 AM,897.56,15.951,
62,04/06/18 05:15:00 AM,897.43,15.951,
63,04/06/18 05:30:00 AM,897.43,15.951,
64,04/06/18 05:45:00 AM,897.43,15.951,
65,04/06/18 06:00:00 AM,897.68,15.951,
66,04/06/18 06:15:00 AM,897.81,15.951,
67,04/06/18 06:30:00 AM,897.93,15.951,
68,04/06/18 06:45:00 AM,898.06,15.951,
69,04/06/18 07:00:00 AM,897.93,15.951,
70,04/06/18 07:15:00 AM,897.93,15.951,
71,04/06/18 07:30:00 AM,898.06,15.951,
72,04/06/18 07:45:00 AM,898.02,15.855,
73,04/06/18 08:00:00 AM,897.93,15.951,
74,04/06/18 08:15:00 AM,898.06,15.951,
75,04/06/18 08:30:00 AM,897.93,15.951,
76,04/06/18 08:45:00 AM,898.06,15.951,
77,04/06/18 09:00:00 AM,898.30,15.951,
78,04/06/18 09:15:00 AM,898.42,15.951,
79,04/06/18 09:30:00 AM,898.39,15.855,
80,04/06/18 09:45:00 AM,898.51,15.855,
81,04/06/18 10:00:00 AM,898.42,15.951,
82,04/06/18 10:15:00 AM,898.39,15.855,
83,04/06/18 10:30:00 AM,898.39,15.855,
84,04/06/18 10:45:00 AM,898.39,15.855,
85,04/06/18 11:00:00 AM,898.27,15.855,
86,04/06/18 11:15:00 AM,898.30,15.951,
87,04/06/18 11:30:00 AM,898.30,15.951,
88,04/06/18 11:45:00 AM,898.30,15.951,
89,04/06/18 12:00:00 PM,898.18,15.951,
90,04/06/18 12:15:00 PM,897.93,15.951,
91,04/06/18 12:30:00 PM,897.81,15.951,
92,04/06/18 12:45:00 PM,897.81,15.951,
93,04/06/18 01:00:00 PM,897.68,15.951,
94,04/06/18 01:15:00 PM,897.43,15.951,
95,04/06/18 01:30:00 PM,897.31,15.951,
96,04/06/18 01:45:00 PM,897.31,15.951,
97,04/06/18 02:00:00 PM,897.19,15.951,
98,04/06/18 02:15:00 PM,897.07,15.951,
99,04/06/18 02:30:00 PM,897.07,15.951,
100,04/06/18 02:45:00 PM,896.82,15.951,
101,04/06/18 03:00:00 PM,896.69,15.951,
102,04/06/18 03:15:00 PM,896.56,15.951,
103,04/06/18 03:30:00 PM,896.69,15.951,
104,04/06/18 03:45:00 PM,896.60,16.046,
105,04/06/18 04:00:00 PM,896.48,16.046,
106,04/06/18 04:15:00 PM,896.35,16.046,
107,04/06/18 04:30:00 PM,896.23,16.046,
108,04/06/18 04:45:00 PM,896.11,16.046,
109,04/06/18 05:00:00 PM,896.23,16.046,
110,04/06/18 05:15:00 PM,896.11,16.046,
111,04/06/18 05:30:00 PM,896.11,16.046,
112,04/06/18 05:45:00 PM,896.11,16.046,
113,04/06/18 06:00:00 PM,896.35,16.046,
114,04/06/18 06:15:00 PM,896.23,16.046,
115,04/06/18 06:30:00 PM,896.23,16.046,
