7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1523827620,+3.48,+21.730, +6.945,+0.981
1523828520,+3.48,+21.822, +7.137,+0.981
1523829420,+3.48,+21.872, +7.238,+0.981
1523830320,+3.48,+21.989, +7.607,+0.979
1523831220,+3.48,+21.947, +7.087,+0.982
1523832120,+3.48,+22.114, +7.069,+0.982
1523833020,+3.48,+22.223, +6.902,+0.982
1523833920,+3.48,+22.381, +7.850,+0.980
1523834820,+3.48,+22.515, +7.819,+0.979
1523835720,+3.48,+22.565, +7.497,+0.978
1523836620,+3.48,+22.549, +7.885,+0.981
1523837520,+3.48,+22.540, +8.159,+0.981
1523838420,+3.48,+22.524, +7.769,+0.982
1523839320,+3.48,+22.565, +6.489,+0.983
1523840220,+3.48,+22.398, +6.663,+0.981
1523841120,+3.48,+22.348, +6.400,+0.983
1523842020,+3.48,+22.081, +7.885,+0.980
1523842920,+3.48,+22.047, +7.945,+0.979
1523843820,+3.48,+21.889, +7.535,+0.979
1523844720,+3.48,+21.822, +8.860,+0.979
1523845620,+3.48,+21.939, +6.792,+0.980
1523846520,+3.48,+21.989, +5.645,+0.978
1523847420,+3.48,+22.039, +5.213,+0.982
1523848320,+3.48,+22.198, +4.054,+0.981
1523849220,+3.48,+22.214, +5.035,+0.980
1523850120,+3.48,+22.373, +6.578,+0.980
1523851020,+3.49,+22.407, +7.023,+0.982
1523851920,+3.49,+22.340, +7.229,+0.982
1523852820,+3.48,+22.457, +7.052,+0.982
1523853720,+3.49,+22.298, +7.433,+0.982
1523854620,+3.49,+22.239, +7.238,+0.982
1523855520,+3.48,+22.014, +5.880,+0.983
1523856420,+3.49,+21.613, +4.762,+0.982
1523857320,+3.49,+21.220, +3.523,+0.981
1523858220,+3.49,+21.128, +2.585,+0.980
1523859120,+3.48,+21.053, +1.989,+0.981
1523860020,+3.48,+20.944, +1.618,+0.981
1523860920,+3.48,+20.903, +1.937,+0.980
1523861820,+3.48,+20.928, +0.887,+0.969
1523862720,+3.48,+20.944, +0.231,+0.961
1523863620,+3.48,+21.036, +0.186,+0.962
1523864520,+3.48,+21.045, +0.101,+0.961
1523865420,+3.48,+21.011, +0.085,+0.961
1523866320,+3.48,+21.028, +0.603,+0.972
1523867220,+3.48,+21.053, +1.402,+0.982
1523868120,+3.48,+21.103, +2.480,+0.985
1523869020,+3.48,+21.178, +3.157,+0.984
1523869920,+3.49,+21.187, +3.854,+0.985
1523870820,+3.48,+21.053, +3.191,+0.985
1523871720,+3.48,+20.836, +2.632,+0.985
1523872620,+3.48,+20.468, +1.576,+0.983
1523873520,+3.48,+20.435, +1.010,+0.979
1523874420,+3.48,+20.351, +0.614,+0.973
1523875320,+3.48,+20.368, +0.526,+0.971
1523876220,+3.49,+20.518, +1.129,+0.979
1523877120,+3.48,+20.460, +0.881,+0.978
1523878020,+3.48,+20.368, +0.579,+0.973
1523878920,+3.48,+20.493, +0.189,+0.964
1523879820,+3.48,+20.510, +0.840,+0.978
1523880720,+3.48,+20.451, +0.950,+0.979
1523881620,+3.48,+20.368, +0.904,+0.979
1523882520,+3.48,+20.309, +0.517,+0.971
1523883420,+3.48,+20.317, +0.876,+0.978
1523884320,+3.48,+20.284, +0.510,+0.972
1523885220,+3.48,+20.393, +0.645,+0.973
1523886120,+3.48,+20.451, +0.338,+0.968
1523887020,+3.48,+20.435, +0.130,+0.962
1523887920,+3.48,+20.493, +0.050,+0.961
1523888820,+3.48,+20.527, +0.057,+0.961
1523889720,+3.48,+20.518, +0.081,+0.962
1523890620,+3.48,+20.552, +0.118,+0.963
1523891520,+3.48,+20.652, +0.424,+0.969
1523892420,+3.48,+20.719, +1.774,+0.984
1523893320,+3.48,+20.794, +2.229,+0.986
1523894220,+3.48,+18.178, +6.077,+0.979
1523895120,+3.48,+17.597, +6.493,+0.982
1523896020,+3.48,+17.470, +6.328,+0.982
1523896920,+3.48,+17.664, +6.469,+0.982
1523897820,+3.48,+17.824, +6.356,+0.982
1523898720,+3.48,+17.959, +6.226,+0.982
1523899620,+3.48,+18.002, +5.438,+0.982
1523900520,+3.48,+18.086, +5.399,+0.982
1523901420,+3.48,+18.204, +5.132,+0.983
1523902320,+3.48,+18.347, +5.600,+0.983
1523903220,+3.48,+18.456, +5.835,+0.982
1523904120,+3.48,+18.481, +5.820,+0.982
1523905020,+3.48,+18.801, +6.510,+0.982
1523905920,+3.48,+18.868, +6.900,+0.982
1523906820,+3.48,+19.195, +7.403,+0.981
1523907720,+3.48,+19.120, +6.034,+0.983
1523908620,+3.48,+19.178, +6.853,+0.982
1523909520,+3.48,+19.262, +5.938,+0.982
1523910420,+3.48,+19.631, +7.341,+0.981
1523911320,+3.48,+19.933, +8.064,+0.979
1523912220,+3.48,+20.058, +8.145,+0.981
1523913120,+3.48,+20.175, +7.956,+0.981
1523914020,+3.48,+20.217, +7.680,+0.981
