7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1524164220,+3.47,+18.692, +8.489,+0.980
1524165120,+3.47,+18.801, +8.733,+0.981
1524166020,+3.47,+18.952, +9.054,+0.982
1524166920,+3.47,+19.069, +9.342,+0.981
1524167820,+3.47,+19.095, +9.504,+0.981
1524168720,+3.47,+19.246, +9.665,+0.980
1524169620,+3.47,+19.388, +9.664,+0.982
1524170520,+3.47,+19.564, +9.733,+0.980
1524171420,+3.47,+19.673, +9.731,+0.981
1524172320,+3.47,+19.849, +9.833,+0.980
1524173220,+3.47,+20.100, +9.960,+0.983
1524174120,+3.47,+20.368, +9.980,+0.980
1524175020,+3.47,+20.451,+10.163,+0.980
1524175920,+3.47,+20.527,+10.297,+0.982
1524176820,+3.47,+20.485,+10.499,+0.982
1524177720,+3.47,+20.710,+10.393,+0.980
1524178620,+3.47,+20.702,+10.328,+0.980
1524179520,+3.47,+21.153,+10.421,+0.981
1524180420,+3.47,+20.961,+10.452,+0.981
1524181320,+3.47,+21.304,+10.459,+0.978
1524182220,+3.47,+21.513,+10.385,+0.981
1524183120,+3.47,+21.822,+10.490,+0.980
1524184020,+3.47,+22.022,+10.515,+0.979
1524184920,+3.47,+21.939,+10.429,+0.981
1524185820,+3.47,+21.830,+10.376,+0.982
1524186720,+3.48,+21.680,+10.247,+0.983
1524187620,+3.48,+21.613,+10.509,+0.983
1524188520,+3.48,+21.488,+10.506,+0.981
1524189420,+3.48,+21.304,+10.500,+0.981
1524190320,+3.48,+21.120,+10.248,+0.981
1524191220,+3.48,+20.995,+10.229,+0.981
1524192120,+3.47,+20.995,+10.083,+0.981
1524193020,+3.48,+21.028, +9.759,+0.982
1524193920,+3.48,+20.911, +9.454,+0.980
1524194820,+3.48,+20.794, +9.364,+0.980
1524195720,+3.48,+20.476, +9.686,+0.981
1524196620,+3.48,+20.443, +9.665,+0.982
1524197520,+3.48,+20.317, +9.521,+0.981
1524198420,+3.48,+20.150, +9.452,+0.980
1524199320,+3.48,+20.125, +9.213,+0.979
1524200220,+3.48,+20.100, +9.143,+0.981
1524201120,+3.48,+19.279, +9.461,+0.980
1524202020,+3.48,+19.086, +9.361,+0.979
1524202920,+3.48,+19.011, +9.228,+0.981
1524203820,+3.48,+18.994, +9.089,+0.981
1524204720,+3.48,+18.918, +8.944,+0.980
1524205620,+3.48,+18.750, +8.882,+0.979
1524206520,+3.48,+18.641, +8.701,+0.979
1524207420,+3.48,+18.498, +8.508,+0.979
1524208320,+3.47,+18.969, +8.242,+0.983
1524209220,+3.48,+19.447, +7.946,+0.982
1524210120,+3.48,+20.100, +7.701,+0.983
1524211020,+3.48,+20.276, +7.212,+0.982
1524211920,+3.48,+20.117, +7.090,+0.981
1524212820,+3.47,+19.974, +6.902,+0.983
1524213720,+3.48,+19.589, +7.026,+0.982
1524214620,+3.47,+18.969, +7.525,+0.981
1524215520,+3.47,+18.750, +7.749,+0.981
1524216420,+3.47,+18.666, +7.798,+0.983
1524217320,+3.47,+18.515, +7.619,+0.982
1524218220,+3.47,+18.094, +7.511,+0.983
1524219120,+3.47,+18.153, +7.324,+0.982
1524220020,+3.48,+18.162, +7.124,+0.983
1524220920,+3.47,+18.355, +6.874,+0.983
1524221820,+3.47,+18.397, +6.654,+0.983
1524222720,+3.47,+18.431, +6.365,+0.983
1524223620,+3.47,+18.456, +6.032,+0.983
1524224520,+3.47,+18.481, +5.698,+0.983
1524225420,+3.47,+18.540, +5.352,+0.981
1524226320,+3.47,+18.675, +5.051,+0.983
1524227220,+3.47,+18.792, +4.800,+0.983
1524228120,+3.47,+18.943, +4.542,+0.983
1524229020,+3.47,+19.187, +4.295,+0.983
1524229920,+3.47,+19.346, +4.062,+0.984
1524230820,+3.47,+19.648, +3.794,+0.984
1524231720,+3.47,+19.690, +3.533,+0.984
1524232620,+3.47,+19.715, +3.264,+0.985
1524233520,+3.47,+19.706, +2.995,+0.984
1524234420,+3.47,+19.598, +2.738,+0.983
1524235320,+3.47,+19.262, +2.695,+0.984
1524236220,+3.47,+19.095, +2.849,+0.985
1524237120,+3.47,+18.742, +3.743,+0.985
1524238020,+3.47,+18.700, +3.900,+0.986
1524238920,+3.47,+18.902, +4.282,+0.986
1524239820,+3.47,+18.860, +4.431,+0.985
1524240720,+3.47,+18.809, +4.234,+0.985
1524241620,+3.47,+18.893, +4.310,+0.986
1524242520,+3.47,+18.860, +4.249,+0.985
1524243420,+3.47,+18.692, +4.636,+0.983
1524244320,+3.47,+18.448, +5.424,+0.981
1524245220,+3.47,+17.968, +6.240,+0.980
1524246120,+3.47,+17.740, +6.617,+0.981
1524247020,+3.47,+17.909, +6.398,+0.982
1524247920,+3.47,+18.305, +5.886,+0.983
1524248820,+3.47,+18.523, +6.231,+0.983
1524249720,+3.47,+18.860, +6.327,+0.983
1524250620,+3.47,+19.069, +5.928,+0.983
