"Plot Title: 20246312"
"#","Date Time, GMT-07:00","Abs Pres, mm Hg (LGR S/N: 20246312, SEN S/N: 20246312)","Temp, °C (LGR S/N: 20246312, SEN S/N: 20246312)"
1,05/02/18 02:00:00 PM,762.81,15.951
2,05/02/18 02:15:00 PM,762.81,15.951
3,05/02/18 02:30:00 PM,762.79,16.141
4,05/02/18 02:45:00 PM,762.76,16.523
5,05/02/18 03:00:00 PM,762.68,16.808
6,05/02/18 03:15:00 PM,762.65,16.523
7,05/02/18 03:30:00 PM,762.61,16.237
8,05/02/18 03:45:00 PM,762.56,16.141
9,05/02/18 04:00:00 PM,762.51,16.046
10,05/02/18 04:15:00 PM,762.39,16.046
11,05/02/18 04:30:00 PM,762.56,16.141
12,05/02/18 04:45:00 PM,762.68,16.141
13,05/02/18 05:00:00 PM,762.86,16.046
14,05/02/18 05:15:00 PM,762.79,16.141
15,05/02/18 05:30:00 PM,762.91,16.141
16,05/02/18 05:45:00 PM,762.98,16.046
17,05/02/18 06:00:00 PM,762.99,15.855
18,05/02/18 06:15:00 PM,763.21,16.046
19,05/02/18 06:30:00 PM,763.32,16.237
20,05/02/18 06:45:00 PM,763.17,15.760
21,05/02/18 07:00:00 PM,763.08,15.378
22,05/02/18 07:15:00 PM,763.33,15.187
23,05/02/18 07:30:00 PM,763.28,15.091
24,05/02/18 07:45:00 PM,763.39,15.091
25,05/02/18 08:00:00 PM,763.35,14.804
26,05/02/18 08:15:00 PM,763.46,14.996
27,05/02/18 08:30:00 PM,763.64,14.900
28,05/02/18 08:45:00 PM,763.71,14.804
29,05/02/18 09:00:00 PM,763.77,14.709
30,05/02/18 09:15:00 PM,764.01,14.517
31,05/02/18 09:30:00 PM,764.19,14.421
32,05/02/18 09:45:00 PM,764.09,14.230
33,05/02/18 10:00:00 PM,764.50,14.134
34,05/02/18 10:15:00 PM,764.57,14.038
35,05/02/18 10:30:00 PM,764.86,14.134
36,05/02/18 10:45:00 PM,764.86,14.134
37,05/02/18 11:00:00 PM,764.80,14.038
38,05/02/18 11:15:00 PM,764.93,13.846
39,05/02/18 11:30:00 PM,764.99,13.750
40,05/02/18 11:45:00 PM,765.06,13.461
41,05/03/18 12:00:00 AM,764.95,13.076
42,05/03/18 12:15:00 AM,765.13,12.980
43,05/03/18 12:30:00 AM,765.19,12.690
44,05/03/18 12:45:00 AM,765.08,12.497
45,05/03/18 01:00:00 AM,765.13,12.594
46,05/03/18 01:15:00 AM,765.14,12.401
47,05/03/18 01:30:00 AM,765.19,12.497
48,05/03/18 01:45:00 AM,765.02,12.401
49,05/03/18 02:00:00 AM,765.02,12.207
50,05/03/18 02:15:00 AM,765.08,12.110
51,05/03/18 02:30:00 AM,765.14,11.819
52,05/03/18 02:45:00 AM,765.14,12.013
53,05/03/18 03:00:00 AM,765.08,11.722
54,05/03/18 03:15:00 AM,765.14,11.625
55,05/03/18 03:30:00 AM,765.08,11.722
56,05/03/18 03:45:00 AM,765.08,11.722
57,05/03/18 04:00:00 AM,764.96,11.528
58,05/03/18 04:15:00 AM,764.90,11.431
59,05/03/18 04:30:00 AM,764.90,11.236
60,05/03/18 04:45:00 AM,765.01,11.041
61,05/03/18 05:00:00 AM,764.89,10.846
62,05/03/18 05:15:00 AM,764.83,10.748
63,05/03/18 05:30:00 AM,764.76,10.651
64,05/03/18 05:45:00 AM,764.76,10.455
65,05/03/18 06:00:00 AM,764.70,10.357
66,05/03/18 06:15:00 AM,764.88,10.455
67,05/03/18 06:30:00 AM,765.00,10.455
68,05/03/18 06:45:00 AM,765.18,10.748
69,05/03/18 07:00:00 AM,765.36,11.041
70,05/03/18 07:15:00 AM,765.37,11.431
71,05/03/18 07:30:00 AM,765.61,11.819
72,05/03/18 07:45:00 AM,765.61,12.401
73,05/03/18 08:00:00 AM,765.72,12.787
74,05/03/18 08:15:00 AM,765.72,13.173
75,05/03/18 08:30:00 AM,765.82,13.558
76,05/03/18 08:45:00 AM,765.93,14.134
77,05/03/18 09:00:00 AM,765.85,14.421
78,05/03/18 09:15:00 AM,765.89,14.900
79,05/03/18 09:30:00 AM,766.11,15.091
80,05/03/18 09:45:00 AM,766.18,14.996
81,05/03/18 10:00:00 AM,766.09,15.473
82,05/03/18 10:15:00 AM,766.25,15.760
83,05/03/18 10:30:00 AM,766.23,16.141
84,05/03/18 10:45:00 AM,766.20,15.664
85,05/03/18 11:00:00 AM,765.87,16.141
86,05/03/18 11:15:00 AM,765.81,17.570
87,05/03/18 11:30:00 AM,765.92,18.236
88,05/03/18 11:45:00 AM,765.90,18.426
89,05/03/18 12:00:00 PM,765.93,17.570
90,05/03/18 12:15:00 PM,765.81,17.570
91,05/03/18 12:30:00 PM,766.06,17.379
92,05/03/18 12:45:00 PM,766.08,16.523
93,05/03/18 01:00:00 PM,765.91,16.427
94,05/03/18 01:15:00 PM,765.79,16.427
95,05/03/18 01:30:00 PM,765.87,16.808
96,05/03/18 01:45:00 PM,765.98,16.999
97,05/03/18 02:00:00 PM,765.91,17.094
98,05/03/18 02:15:00 PM,765.84,17.189
99,05/03/18 02:30:00 PM,765.90,17.284
100,05/03/18 02:45:00 PM,765.72,17.189
101,05/03/18 03:00:00 PM,765.57,16.903
102,05/03/18 03:15:00 PM,765.44,17.094
103,05/03/18 03:30:00 PM,765.45,16.903
104,05/03/18 03:45:00 PM,765.22,16.903
105,05/03/18 04:00:00 PM,765.00,16.713
106,05/03/18 04:15:00 PM,764.89,16.523
107,05/03/18 04:30:00 PM,764.59,16.618
108,05/03/18 04:45:00 PM,764.58,16.808
109,05/03/18 05:00:00 PM,764.51,16.903
110,05/03/18 05:15:00 PM,764.37,17.094
111,05/03/18 05:30:00 PM,764.31,17.189
112,05/03/18 05:45:00 PM,764.13,17.094
113,05/03/18 06:00:00 PM,764.04,16.903
114,05/03/18 06:15:00 PM,764.07,17.855
115,05/03/18 06:30:00 PM,764.14,18.236
116,05/03/18 06:45:00 PM,764.05,18.521
117,05/03/18 07:00:00 PM,764.10,18.616
118,05/03/18 07:15:00 PM,764.14,18.236
119,05/03/18 07:30:00 PM,764.13,17.760
120,05/03/18 07:45:00 PM,764.17,17.379
121,05/03/18 08:00:00 PM,764.13,17.094
122,05/03/18 08:15:00 PM,764.20,16.999
123,05/03/18 08:30:00 PM,764.28,16.713
124,05/03/18 08:45:00 PM,764.40,16.713
125,05/03/18 09:00:00 PM,764.27,16.903
126,05/03/18 09:15:00 PM,764.40,16.713
127,05/03/18 09:30:00 PM,764.61,16.427
128,05/03/18 09:45:00 PM,764.55,16.332
129,05/03/18 10:00:00 PM,764.50,16.237
130,05/03/18 10:15:00 PM,764.57,16.141
131,05/03/18 10:30:00 PM,764.33,16.141
132,05/03/18 10:45:00 PM,764.40,16.046
133,05/03/18 11:00:00 PM,764.34,15.951
134,05/03/18 11:15:00 PM,764.48,15.760
135,05/03/18 11:30:00 PM,764.31,15.664
136,05/03/18 11:45:00 PM,764.41,15.855
137,05/04/18 12:00:00 AM,764.60,15.760
138,05/04/18 12:15:00 AM,764.61,15.569
139,05/04/18 12:30:00 AM,764.45,15.282
140,05/04/18 12:45:00 AM,764.70,15.091
141,05/04/18 01:00:00 AM,764.58,14.900
142,05/04/18 01:15:00 AM,764.47,14.900
143,05/04/18 01:30:00 AM,764.58,14.900
144,05/04/18 01:45:00 AM,764.53,14.804
145,05/04/18 02:00:00 AM,764.53,14.804
146,05/04/18 02:15:00 AM,764.47,14.900
147,05/04/18 02:30:00 AM,764.58,14.900
148,05/04/18 02:45:00 AM,764.58,14.900
149,05/04/18 03:00:00 AM,764.58,14.900
150,05/04/18 03:15:00 AM,764.77,14.804
151,05/04/18 03:30:00 AM,764.72,14.709
152,05/04/18 03:45:00 AM,764.72,14.709
153,05/04/18 04:00:00 AM,764.79,14.421
154,05/04/18 04:15:00 AM,764.61,14.325
155,05/04/18 04:30:00 AM,764.57,14.038
156,05/04/18 04:45:00 AM,764.51,13.942
157,05/04/18 05:00:00 AM,764.58,13.846
158,05/04/18 05:15:00 AM,764.47,13.461
159,05/04/18 05:30:00 AM,764.47,13.269
160,05/04/18 05:45:00 AM,764.47,13.269
161,05/04/18 06:00:00 AM,764.47,13.269
162,05/04/18 06:15:00 AM,764.47,13.461
163,05/04/18 06:30:00 AM,764.76,13.365
164,05/04/18 06:45:00 AM,765.00,13.558
165,05/04/18 07:00:00 AM,765.05,13.846
166,05/04/18 07:15:00 AM,765.33,14.325
167,05/04/18 07:30:00 AM,765.48,14.804
168,05/04/18 07:45:00 AM,765.87,15.282
169,05/04/18 08:00:00 AM,765.95,15.855
170,05/04/18 08:15:00 AM,766.08,15.664
171,05/04/18 08:30:00 AM,765.97,15.473
172,05/04/18 08:45:00 AM,765.72,15.664
173,05/04/18 09:00:00 AM,765.65,15.951
174,05/04/18 09:15:00 AM,765.62,16.332
175,05/04/18 09:30:00 AM,765.58,16.046
176,05/04/18 09:45:00 AM,765.63,16.141
177,05/04/18 10:00:00 AM,765.69,16.237
178,05/04/18 10:15:00 AM,765.81,16.903
179,05/04/18 10:30:00 AM,765.93,16.903
180,05/04/18 10:45:00 AM,765.78,16.618
181,05/04/18 11:00:00 AM,765.76,17.475
182,05/04/18 11:15:00 AM,765.55,17.760
183,05/04/18 11:30:00 AM,765.54,17.950
184,05/04/18 11:45:00 AM,765.54,17.950
185,05/04/18 12:00:00 PM,765.39,18.140
186,05/04/18 12:15:00 PM,765.36,18.521
187,05/04/18 12:30:00 PM,765.48,18.521
188,05/04/18 12:45:00 PM,765.45,17.570
189,05/04/18 01:00:00 PM,765.42,17.284
190,05/04/18 01:15:00 PM,765.18,17.284
191,05/04/18 01:30:00 PM,765.05,17.475
192,05/04/18 01:45:00 PM,764.93,17.475
193,05/04/18 02:00:00 PM,764.86,17.570
194,05/04/18 02:15:00 PM,764.70,17.475
195,05/04/18 02:30:00 PM,764.58,17.475
196,05/04/18 02:45:00 PM,764.46,17.475
197,05/04/18 03:00:00 PM,764.27,17.570
198,05/04/18 03:15:00 PM,764.13,17.760
199,05/04/18 03:30:00 PM,764.00,17.950
200,05/04/18 03:45:00 PM,763.81,18.045
201,05/04/18 04:00:00 PM,763.71,17.855
202,05/04/18 04:15:00 PM,763.61,17.665
203,05/04/18 04:30:00 PM,763.51,17.475
204,05/04/18 04:45:00 PM,763.34,17.379
205,05/04/18 05:00:00 PM,763.29,17.284
206,05/04/18 05:15:00 PM,763.31,17.094
207,05/04/18 05:30:00 PM,763.09,16.903
208,05/04/18 05:45:00 PM,763.04,16.808
209,05/04/18 06:00:00 PM,762.92,16.808
210,05/04/18 06:15:00 PM,762.92,17.475
211,05/04/18 06:30:00 PM,762.72,17.094
212,05/04/18 06:45:00 PM,762.72,16.427
213,05/04/18 07:00:00 PM,762.65,16.523
214,05/04/18 07:15:00 PM,762.70,16.618
215,05/04/18 07:30:00 PM,762.65,16.523
216,05/04/18 07:45:00 PM,762.66,16.332
217,05/04/18 08:00:00 PM,763.02,16.332
218,05/04/18 08:15:00 PM,762.90,16.332
219,05/04/18 08:30:00 PM,762.78,16.332
220,05/04/18 08:45:00 PM,762.84,16.237
221,05/04/18 09:00:00 PM,762.68,16.141
222,05/04/18 09:15:00 PM,762.49,16.237
223,05/04/18 09:30:00 PM,762.56,16.141
224,05/04/18 09:45:00 PM,762.58,15.760
225,05/04/18 10:00:00 PM,762.52,15.855
226,05/04/18 10:15:00 PM,762.47,15.760
227,05/04/18 10:30:00 PM,762.35,15.760
228,05/04/18 10:45:00 PM,762.65,15.664
229,05/04/18 11:00:00 PM,762.24,15.569
230,05/04/18 11:15:00 PM,762.49,15.378
231,05/04/18 11:30:00 PM,762.25,15.378
232,05/04/18 11:45:00 PM,761.97,15.282
233,05/05/18 12:00:00 AM,762.14,15.378
234,05/05/18 12:15:00 AM,762.02,15.378
235,05/05/18 12:30:00 AM,761.90,15.378
236,05/05/18 12:45:00 AM,762.00,15.569
237,05/05/18 01:00:00 AM,761.95,15.473
238,05/05/18 01:15:00 AM,761.89,15.569
239,05/05/18 01:30:00 AM,761.83,15.473
240,05/05/18 01:45:00 AM,761.89,15.569
241,05/05/18 02:00:00 AM,761.67,15.378
242,05/05/18 02:15:00 AM,761.67,15.378
243,05/05/18 02:30:00 AM,761.55,15.187
244,05/05/18 02:45:00 AM,761.33,14.996
245,05/05/18 03:00:00 AM,761.33,14.996
246,05/05/18 03:15:00 AM,761.28,14.900
247,05/05/18 03:30:00 AM,761.34,14.804
248,05/05/18 03:45:00 AM,761.28,14.709
249,05/05/18 04:00:00 AM,761.16,14.900
250,05/05/18 04:15:00 AM,760.94,14.517
251,05/05/18 04:30:00 AM,761.06,14.517
252,05/05/18 04:45:00 AM,761.06,14.517
253,05/05/18 05:00:00 AM,761.26,14.038
254,05/05/18 05:15:00 AM,761.14,14.038
255,05/05/18 05:30:00 AM,761.25,14.230
256,05/05/18 05:45:00 AM,761.31,14.325
257,05/05/18 06:00:00 AM,761.44,13.942
258,05/05/18 06:15:00 AM,761.45,13.750
259,05/05/18 06:30:00 AM,761.51,13.654
260,05/05/18 06:45:00 AM,761.68,13.750
261,05/05/18 07:00:00 AM,761.84,14.230
262,05/05/18 07:15:00 AM,761.88,14.709
263,05/05/18 07:30:00 AM,762.16,14.996
264,05/05/18 07:45:00 AM,762.03,15.187
265,05/05/18 08:00:00 AM,762.06,15.664
266,05/05/18 08:15:00 AM,762.03,16.046
267,05/05/18 08:30:00 AM,762.23,15.760
268,05/05/18 08:45:00 AM,762.35,15.760
269,05/05/18 09:00:00 AM,762.33,15.951
270,05/05/18 09:15:00 AM,762.44,16.141
271,05/05/18 09:30:00 AM,762.51,16.046
272,05/05/18 09:45:00 AM,762.33,15.951
273,05/05/18 10:00:00 AM,762.19,16.332
274,05/05/18 10:15:00 AM,762.12,17.094
275,05/05/18 10:30:00 AM,762.05,17.855
276,05/05/18 10:45:00 AM,762.20,18.140
277,05/05/18 11:00:00 AM,762.09,17.475
278,05/05/18 11:15:00 AM,762.11,18.426
279,05/05/18 11:30:00 AM,762.08,18.140
280,05/05/18 11:45:00 AM,761.86,17.950
281,05/05/18 12:00:00 PM,761.67,18.045
282,05/05/18 12:15:00 PM,761.55,18.711
283,05/05/18 12:30:00 PM,761.59,18.806
284,05/05/18 12:45:00 PM,761.48,17.665
285,05/05/18 01:00:00 PM,761.46,17.189
286,05/05/18 01:15:00 PM,761.37,16.999
287,05/05/18 01:30:00 PM,761.40,17.284
288,05/05/18 01:45:00 PM,761.21,17.379
289,05/05/18 02:00:00 PM,761.17,17.760
290,05/05/18 02:15:00 PM,761.04,17.950
291,05/05/18 02:30:00 PM,760.78,18.140
292,05/05/18 02:45:00 PM,760.83,18.236
293,05/05/18 03:00:00 PM,760.83,18.236
294,05/05/18 03:15:00 PM,760.56,17.950
295,05/05/18 03:30:00 PM,760.47,17.760
296,05/05/18 03:45:00 PM,760.44,17.950
297,05/05/18 04:00:00 PM,760.56,17.950
298,05/05/18 04:15:00 PM,760.44,17.950
299,05/05/18 04:30:00 PM,760.29,17.665
300,05/05/18 04:45:00 PM,760.29,17.665
301,05/05/18 05:00:00 PM,760.04,17.855
302,05/05/18 05:15:00 PM,760.16,17.855
303,05/05/18 05:30:00 PM,760.13,17.570
304,05/05/18 05:45:00 PM,760.05,17.189
305,05/05/18 06:00:00 PM,760.11,17.094
306,05/05/18 06:15:00 PM,760.01,16.903
307,05/05/18 06:30:00 PM,760.08,16.808
308,05/05/18 06:45:00 PM,759.96,16.808
309,05/05/18 07:00:00 PM,759.84,16.808
310,05/05/18 07:15:00 PM,759.84,16.808
311,05/05/18 07:30:00 PM,759.62,16.618
312,05/05/18 07:45:00 PM,759.45,16.523
313,05/05/18 08:00:00 PM,759.70,16.332
314,05/05/18 08:15:00 PM,759.65,16.237
315,05/05/18 08:30:00 PM,759.77,16.237
316,05/05/18 08:45:00 PM,759.83,16.141
317,05/05/18 09:00:00 PM,759.87,16.427
318,05/05/18 09:15:00 PM,759.98,16.618
319,05/05/18 09:30:00 PM,759.99,16.427
320,05/05/18 09:45:00 PM,760.11,16.427
321,05/05/18 10:00:00 PM,760.13,16.237
322,05/05/18 10:15:00 PM,760.24,16.237
323,05/05/18 10:30:00 PM,760.26,16.046
324,05/05/18 10:45:00 PM,760.26,16.046
325,05/05/18 11:00:00 PM,760.20,15.951
326,05/05/18 11:15:00 PM,760.32,15.951
327,05/05/18 11:30:00 PM,760.20,15.951
328,05/05/18 11:45:00 PM,760.20,15.951
329,05/06/18 12:00:00 AM,760.22,15.760
330,05/06/18 12:15:00 AM,760.09,15.951
331,05/06/18 12:30:00 AM,760.10,15.760
332,05/06/18 12:45:00 AM,760.22,15.760
333,05/06/18 01:00:00 AM,760.18,15.473
334,05/06/18 01:15:00 AM,760.06,15.473
335,05/06/18 01:30:00 AM,759.94,15.473
336,05/06/18 01:45:00 AM,759.83,15.282
337,05/06/18 02:00:00 AM,759.85,15.091
338,05/06/18 02:15:00 AM,759.80,14.804
339,05/06/18 02:30:00 AM,759.99,14.709
340,05/06/18 02:45:00 AM,759.69,14.613
341,05/06/18 03:00:00 AM,759.59,14.421
342,05/06/18 03:15:00 AM,759.24,14.230
343,05/06/18 03:30:00 AM,759.59,14.230
344,05/06/18 03:45:00 AM,759.54,14.134
345,05/06/18 04:00:00 AM,759.65,14.325
346,05/06/18 04:15:00 AM,759.74,13.654
347,05/06/18 04:30:00 AM,759.73,13.846
348,05/06/18 04:45:00 AM,759.56,13.750
349,05/06/18 05:00:00 AM,759.62,13.461
350,05/06/18 05:15:00 AM,759.74,13.461
351,05/06/18 05:30:00 AM,759.86,13.269
352,05/06/18 05:45:00 AM,760.05,13.173
353,05/06/18 06:00:00 AM,760.16,13.365
354,05/06/18 06:15:00 AM,760.22,13.461
355,05/06/18 06:30:00 AM,760.15,13.558
356,05/06/18 06:45:00 AM,760.22,13.461
357,05/06/18 07:00:00 AM,760.23,13.076
358,05/06/18 07:15:00 AM,760.56,13.654
359,05/06/18 07:30:00 AM,760.62,13.750
360,05/06/18 07:45:00 AM,760.65,14.421
361,05/06/18 08:00:00 AM,760.75,14.804
362,05/06/18 08:15:00 AM,761.15,15.091
363,05/06/18 08:30:00 AM,761.08,15.187
364,05/06/18 08:45:00 AM,760.85,15.187
365,05/06/18 09:00:00 AM,760.77,15.473
366,05/06/18 09:15:00 AM,760.94,15.569
367,05/06/18 09:30:00 AM,761.04,15.760
368,05/06/18 09:45:00 AM,761.22,15.855
369,05/06/18 10:00:00 AM,761.44,16.046
370,05/06/18 10:15:00 AM,761.52,15.760
371,05/06/18 10:30:00 AM,761.34,15.855
372,05/06/18 10:45:00 AM,761.48,16.332
373,05/06/18 11:00:00 AM,761.34,16.523
374,05/06/18 11:15:00 AM,761.55,16.903
375,05/06/18 11:30:00 AM,761.50,16.808
376,05/06/18 11:45:00 AM,761.43,16.903
377,05/06/18 12:00:00 PM,761.45,17.379
378,05/06/18 12:15:00 PM,761.58,17.855
379,05/06/18 12:30:00 PM,761.72,17.665
380,05/06/18 12:45:00 PM,761.65,17.094
381,05/06/18 01:00:00 PM,761.70,17.189
382,05/06/18 01:15:00 PM,761.82,17.189
383,05/06/18 01:30:00 PM,761.84,16.999
384,05/06/18 01:45:00 PM,761.67,16.903
385,05/06/18 02:00:00 PM,761.61,16.808
