7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1509920400,+3.47,+19.782, +8.797,+0.991
1509921300,+3.47,+19.648, +8.798,+0.991
1509922200,+3.47,+20.075, +8.739,+0.990
1509923100,+3.47,+20.510, +8.744,+0.991
1509924000,+3.47,+21.112, +8.758,+0.991
1509924900,+3.47,+21.212, +8.820,+0.991
1509925800,+3.47,+21.212, +8.863,+0.990
1509926700,+3.47,+21.020, +8.934,+0.991
1509927600,+3.47,+21.279, +8.919,+0.991
1509928500,+3.47,+20.242, +9.043,+0.990
1509929400,+3.47,+18.918, +9.232,+0.990
1509930300,+3.47,+18.069, +9.361,+0.991
1509931200,+3.47,+17.647, +9.392,+0.991
1509932100,+3.47,+17.199, +9.450,+0.991
1509933000,+3.47,+17.081, +9.462,+0.992
1509933900,+3.47,+17.021, +9.449,+0.991
1509934800,+3.47,+16.818, +9.473,+0.991
1509935700,+3.47,+16.580, +9.501,+0.990
1509936600,+3.47,+16.231, +9.636,+0.992
1509937500,+3.47,+16.197, +9.675,+0.992
1509938400,+3.47,+15.694, +9.775,+0.991
1509939300,+3.47,+15.239, +9.868,+0.992
1509940200,+3.47,+15.085, +9.904,+0.991
1509941100,+3.47,+14.697, +9.965,+0.992
1509942000,+3.47,+14.464, +9.968,+0.990
1509942900,+3.47,+14.274,+10.043,+0.992
1509943800,+3.47,+14.031,+10.083,+0.992
1509944700,+3.47,+14.412,+10.011,+0.992
1509945600,+3.47,+14.740, +9.956,+0.991
1509946500,+3.47,+14.878, +9.945,+0.993
1509947400,+3.47,+15.188, +9.879,+0.992
1509948300,+3.47,+15.334, +9.841,+0.991
1509949200,+3.47,+15.420, +9.812,+0.992
1509950100,+3.47,+15.385, +9.794,+0.991
1509951000,+3.47,+15.342, +9.821,+0.992
1509951900,+3.47,+15.368, +9.804,+0.992
1509952800,+3.47,+15.325, +9.805,+0.991
1509953700,+3.47,+15.291, +9.804,+0.991
1509954600,+3.47,+15.291, +9.836,+0.992
1509955500,+3.47,+15.145, +9.844,+0.992
1509956400,+3.47,+14.930, +9.895,+0.992
1509957300,+3.47,+14.654, +9.955,+0.992
1509958200,+3.47,+14.481,+10.000,+0.992
1509959100,+3.47,+14.187,+10.061,+0.992
1509960000,+3.47,+14.005,+10.098,+0.991
1509960900,+3.47,+14.031,+10.119,+0.991
1509961800,+3.47,+14.170,+10.114,+0.992
1509962700,+3.46,+14.239,+10.120,+0.992
1509963600,+3.46,+14.213,+10.143,+0.993
1509964500,+3.46,+14.213,+10.135,+0.992
1509965400,+3.46,+14.170,+10.143,+0.992
1509966300,+3.46,+14.187,+10.164,+0.993
1509967200,+3.46,+14.222,+10.126,+0.991
1509968100,+3.46,+14.152,+10.149,+0.991
1509969000,+3.46,+14.126,+10.168,+0.992
1509969900,+3.46,+14.152,+10.157,+0.992
1509970800,+3.46,+14.152,+10.162,+0.992
1509971700,+3.46,+14.144,+10.166,+0.992
1509972600,+3.46,+14.187,+10.139,+0.991
1509973500,+3.46,+14.092,+10.181,+0.992
1509974400,+3.46,+14.066,+10.186,+0.992
1509975300,+3.46,+14.074,+10.188,+0.992
1509976200,+3.46,+14.135,+10.189,+0.993
1509977100,+3.46,+14.144,+10.203,+0.993
1509978000,+3.46,+14.187,+10.151,+0.991
1509978900,+3.46,+14.178,+10.158,+0.992
1509979800,+3.46,+14.170,+10.165,+0.992
1509980700,+3.46,+14.161,+10.175,+0.992
1509981600,+3.46,+14.187,+10.170,+0.992
1509982500,+3.46,+14.343,+10.139,+0.991
1509983400,+3.46,+14.706,+10.101,+0.993
1509984300,+3.46,+15.300, +9.985,+0.992
1509985200,+3.46,+15.813, +9.891,+0.992
1509986100,+3.46,+16.402, +9.806,+0.993
1509987000,+3.46,+17.402, +9.649,+0.994
1509987900,+3.46,+17.377, +9.596,+0.990
1509988800,+3.46,+17.411, +9.605,+0.992
1509989700,+3.46,+17.470, +9.584,+0.991
1509990600,+3.46,+17.588, +9.572,+0.992
1509991500,+3.46,+17.681, +9.536,+0.991
1509992400,+3.46,+17.765, +9.544,+0.992
1509993300,+3.46,+17.858, +9.530,+0.991
1509994200,+3.46,+17.917, +9.522,+0.991
1509995100,+3.46,+17.791, +9.575,+0.993
1509996000,+3.46,+17.875, +9.531,+0.991
1509996900,+3.46,+17.841, +9.558,+0.991
1509997800,+3.46,+17.917, +9.548,+0.992
1509998700,+3.46,+17.968, +9.524,+0.991
1509999600,+3.46,+18.254, +9.487,+0.991
1510000500,+3.47,+18.263, +9.507,+0.991
1510001400,+3.47,+18.204, +9.498,+0.990
1510002300,+3.46,+17.580, +9.595,+0.990
1510003200,+3.46,+17.385, +9.646,+0.990
1510004100,+3.47,+17.250, +9.699,+0.992
1510005000,+3.47,+17.106, +9.718,+0.991
1510005900,+3.47,+17.115, +9.728,+0.991
1510006800,+3.47,+17.123, +9.728,+0.991
