7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1508109240,+3.49,+23.426, +9.745,+0.993
1508110140,+3.49,+23.426, +9.128,+0.991
1508111040,+3.49,+23.426, +8.491,+0.992
1508111940,+3.49,+23.452, +8.584,+0.993
1508112840,+3.49,+23.401, +8.815,+0.993
1508113740,+3.49,+23.385, +8.579,+0.991
1508114640,+3.49,+23.326, +8.178,+0.990
1508115540,+3.49,+23.276, +7.698,+0.990
1508116440,+3.49,+23.251, +7.248,+0.990
1508117340,+3.49,+23.134, +7.010,+0.991
1508118240,+3.49,+23.058, +6.872,+0.993
1508119140,+3.49,+23.008, +6.621,+0.993
1508120040,+3.49,+22.975, +6.333,+0.991
1508120940,+3.49,+22.941, +6.112,+0.992
1508121840,+3.49,+22.925, +5.894,+0.992
1508122740,+3.49,+22.866, +5.676,+0.991
1508123640,+3.49,+22.824, +5.483,+0.991
1508124540,+3.49,+22.766, +5.290,+0.990
1508125440,+3.49,+22.791, +5.112,+0.990
1508126340,+3.49,+22.691, +4.956,+0.989
1508127240,+3.49,+22.657, +4.810,+0.990
1508128140,+3.49,+22.490, +4.670,+0.989
1508129040,+3.49,+22.306, +4.541,+0.989
1508129940,+3.49,+22.173, +4.440,+0.988
1508130840,+3.49,+22.022, +4.348,+0.988
1508131740,+3.49,+21.914, +4.239,+0.988
1508132640,+3.49,+21.830, +4.116,+0.987
1508133540,+3.49,+21.747, +4.011,+0.987
1508134440,+3.49,+21.646, +3.916,+0.987
1508135340,+3.49,+21.571, +3.832,+0.987
1508136240,+3.49,+21.488, +3.755,+0.987
1508137140,+3.49,+21.387, +3.667,+0.987
1508138040,+3.49,+21.295, +3.580,+0.987
1508138940,+3.49,+21.212, +3.485,+0.986
1508139840,+3.49,+21.153, +3.406,+0.986
1508140740,+3.49,+21.045, +3.341,+0.986
1508141640,+3.49,+20.986, +3.276,+0.986
1508142540,+3.49,+20.903, +3.216,+0.985
1508143440,+3.49,+20.819, +3.156,+0.985
1508144340,+3.49,+20.744, +3.095,+0.984
1508145240,+3.49,+20.694, +3.041,+0.985
1508146140,+3.49,+20.619, +2.990,+0.985
1508147040,+3.49,+20.568, +2.929,+0.984
1508147940,+3.49,+20.460, +2.880,+0.984
1508148840,+3.49,+20.401, +2.829,+0.984
1508149740,+3.49,+20.301, +2.779,+0.984
1508150640,+3.49,+20.234, +2.729,+0.984
1508151540,+3.49,+20.133, +2.686,+0.983
1508152440,+3.49,+20.083, +2.641,+0.983
1508153340,+3.49,+20.008, +2.605,+0.983
1508154240,+3.49,+19.941, +2.572,+0.983
1508155140,+3.49,+19.907, +2.543,+0.983
1508156040,+3.49,+19.849, +2.511,+0.983
1508156940,+3.49,+19.840, +2.477,+0.983
1508157840,+3.49,+19.740, +2.445,+0.983
1508158740,+3.49,+19.715, +2.405,+0.983
1508159640,+3.49,+19.631, +2.360,+0.983
1508160540,+3.49,+19.564, +2.315,+0.982
1508161440,+3.49,+19.489, +2.270,+0.982
1508162340,+3.48,+19.464, +2.218,+0.982
1508163240,+3.48,+19.413, +2.195,+0.982
1508164140,+3.49,+19.422, +2.534,+0.984
1508165040,+3.49,+19.338, +2.536,+0.984
1508165940,+3.49,+19.313, +2.868,+0.988
1508166840,+3.49,+19.246, +3.138,+0.990
1508167740,+3.48,+19.170, +3.550,+0.993
1508168640,+3.49,+19.178, +3.782,+0.993
1508169540,+3.48,+19.120, +3.805,+0.993
1508170440,+3.48,+19.069, +3.787,+0.993
1508171340,+3.48,+19.019, +3.914,+0.994
1508172240,+3.48,+19.053, +4.211,+0.995
1508173140,+3.48,+19.254, +4.821,+0.994
1508174040,+3.48,+19.447, +5.300,+0.993
1508174940,+3.48,+19.514, +5.705,+0.993
1508175840,+3.48,+19.857, +6.590,+0.993
1508176740,+3.48,+19.983, +7.005,+0.992
1508177640,+3.48,+20.066, +7.025,+0.992
1508178540,+3.48,+20.242, +6.963,+0.992
1508179440,+3.48,+20.518, +7.160,+0.995
1508180340,+3.48,+20.844, +7.427,+0.993
1508181240,+3.48,+21.095, +7.555,+0.994
1508182140,+3.48,+21.329, +7.607,+0.992
1508183040,+3.48,+21.529, +7.656,+0.992
1508183940,+3.48,+21.847, +7.536,+0.993
1508184840,+3.48,+22.081, +7.722,+0.992
1508185740,+3.48,+22.173, +7.849,+0.993
1508186640,+3.48,+22.390, +8.034,+0.992
1508187540,+3.48,+22.674, +8.428,+0.993
1508188440,+3.48,+22.824, +8.550,+0.992
1508189340,+3.48,+23.058, +8.341,+0.993
1508190240,+3.48,+23.201, +8.550,+0.994
1508191140,+3.49,+23.360, +8.846,+0.994
1508192040,+3.49,+23.393, +8.610,+0.992
1508192940,+3.49,+23.527, +8.418,+0.993
1508193840,+3.49,+23.611, +8.452,+0.993
1508194740,+3.49,+23.669, +8.398,+0.992
1508195640,+3.49,+23.686, +8.624,+0.995
