7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1514502420,+3.44,+14.525, +4.473,+0.976
1514503320,+3.45,+14.801, +4.533,+0.977
1514504220,+3.45,+14.775, +4.402,+0.977
1514505120,+3.45,+14.896, +4.222,+0.978
1514506020,+3.45,+14.775, +4.038,+0.979
1514506920,+3.45,+14.740, +3.844,+0.978
1514507820,+3.45,+14.464, +4.908,+0.976
1514508720,+3.45,+14.230, +7.607,+0.973
1514509620,+3.45,+14.048, +7.015,+0.975
1514510520,+3.45,+13.935, +8.337,+0.972
1514511420,+3.45,+13.883, +9.512,+0.973
1514512320,+3.45,+13.665, +8.347,+0.972
1514513220,+3.45,+13.473, +7.454,+0.973
1514514120,+3.45,+13.281, +6.870,+0.974
1514515020,+3.45,+13.185, +6.407,+0.974
1514515920,+3.45,+13.115, +6.075,+0.975
1514516820,+3.45,+13.036, +5.814,+0.976
1514517720,+3.45,+12.992, +5.561,+0.976
1514518620,+3.45,+13.053, +5.308,+0.977
1514519520,+3.45,+12.895, +5.305,+0.975
1514520420,+3.45,+12.895, +6.257,+0.972
1514521320,+3.45,+12.842, +7.069,+0.971
1514522220,+3.45,+12.851, +7.806,+0.972
1514523120,+3.45,+12.807, +8.007,+0.973
1514524020,+3.45,+12.772, +8.720,+0.970
1514524920,+3.45,+12.728, +9.013,+0.971
1514525820,+3.45,+12.719, +8.759,+0.972
1514526720,+3.45,+12.648, +8.464,+0.974
1514527620,+3.45,+12.640, +8.028,+0.974
1514528520,+3.45,+12.684, +7.664,+0.976
1514529420,+3.45,+12.657, +7.202,+0.975
1514530320,+3.45,+12.657, +6.649,+0.976
1514531220,+3.45,+12.675, +6.061,+0.975
1514532120,+3.45,+12.622, +5.563,+0.976
1514533020,+3.45,+12.596, +5.136,+0.977
1514533920,+3.45,+12.534, +4.797,+0.977
1514534820,+3.45,+12.437, +4.499,+0.977
1514535720,+3.45,+12.410, +4.220,+0.978
1514536620,+3.45,+12.330, +3.991,+0.978
1514537520,+3.45,+12.268, +3.809,+0.979
1514538420,+3.45,+12.224, +3.649,+0.978
1514539320,+3.45,+12.109, +3.530,+0.979
1514540220,+3.45,+12.029, +3.406,+0.979
1514541120,+3.45,+11.993, +3.299,+0.980
1514542020,+3.45,+11.940, +3.218,+0.980
1514542920,+3.45,+11.869, +3.156,+0.980
1514543820,+3.45,+11.851, +3.100,+0.980
1514544720,+3.45,+11.806, +3.015,+0.979
1514545620,+3.45,+11.771, +2.924,+0.979
1514546520,+3.44,+11.717, +2.815,+0.979
1514547420,+3.45,+11.699, +4.268,+0.976
1514548320,+3.45,+11.637, +4.620,+0.976
1514549220,+3.45,+11.592, +4.503,+0.977
1514550120,+3.45,+11.556, +4.318,+0.978
1514551020,+3.44,+11.529, +4.100,+0.978
1514551920,+3.45,+11.494, +3.886,+0.979
1514552820,+3.44,+11.449, +3.714,+0.980
1514553720,+3.44,+11.449, +3.516,+0.979
1514554620,+3.44,+11.386, +3.541,+0.978
1514555520,+3.44,+11.386, +3.576,+0.978
1514556420,+3.44,+11.395, +3.482,+0.978
1514557320,+3.44,+11.332, +3.346,+0.978
1514558220,+3.44,+11.288, +3.203,+0.978
1514559120,+3.44,+11.270, +3.022,+0.979
1514560020,+3.44,+11.243, +2.861,+0.979
1514560920,+3.44,+11.189, +2.698,+0.979
1514561820,+3.44,+11.117, +2.604,+0.979
1514562720,+3.44,+11.099, +2.505,+0.979
1514563620,+3.44,+11.099, +2.413,+0.979
1514564520,+3.44,+11.018, +2.379,+0.979
1514565420,+3.44,+11.063, +2.361,+0.979
1514566320,+3.44,+11.036, +2.414,+0.979
1514567220,+3.44,+11.054, +4.718,+0.973
1514568120,+3.44,+11.090, +8.117,+0.974
1514569020,+3.44,+11.099, +8.314,+0.974
1514569920,+3.44,+11.126, +8.290,+0.975
1514570820,+3.44,+11.090, +8.097,+0.976
1514571720,+3.44,+11.162, +8.292,+0.975
1514572620,+3.44,+11.144, +8.493,+0.975
1514573520,+3.44,+11.153, +8.510,+0.976
1514574420,+3.44,+11.153, +8.079,+0.976
1514575320,+3.44,+11.144, +7.599,+0.977
1514576220,+3.44,+11.171, +7.140,+0.977
1514577120,+3.44,+11.297, +6.997,+0.977
1514578020,+3.44,+11.762, +8.764,+0.976
1514578920,+3.44,+13.150,+11.084,+0.975
1514579820,+3.44,+12.895,+11.623,+0.974
1514580720,+3.44,+13.053,+11.355,+0.974
1514581620,+3.44,+13.482,+10.891,+0.972
1514582520,+3.44,+14.152,+11.307,+0.975
1514583420,+3.44,+14.404,+12.390,+0.976
1514584320,+3.44,+14.447,+12.783,+0.975
1514585220,+3.44,+14.585,+12.374,+0.974
1514586120,+3.44,+14.430,+12.259,+0.975
1514587020,+3.44,+14.490,+11.824,+0.974
1514587920,+3.45,+14.878,+11.237,+0.975
1514588820,+3.45,+15.042,+12.091,+0.975
