7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1517186640,+3.45,+15.188,+18.649,+0.979
1517187540,+3.45,+15.188,+19.095,+0.976
1517188440,+3.45,+15.136,+18.715,+0.977
1517189340,+3.45,+15.059,+19.491,+0.978
1517190240,+3.45,+14.637,+18.765,+0.977
1517191140,+3.45,+14.386,+18.759,+0.979
1517192040,+3.45,+14.360,+18.032,+0.978
1517192940,+3.45,+14.447,+18.064,+0.976
1517193840,+3.45,+14.473,+18.145,+0.979
1517194740,+3.45,+14.360,+17.885,+0.977
1517195640,+3.45,+14.317,+17.810,+0.976
1517196540,+3.45,+14.343,+17.363,+0.975
1517197440,+3.45,+14.404,+16.926,+0.977
1517198340,+3.45,+14.620,+16.985,+0.975
1517199240,+3.45,+14.637,+17.395,+0.977
1517200140,+3.45,+14.715,+17.062,+0.977
1517201040,+3.45,+14.809,+16.964,+0.978
1517201940,+3.45,+14.835,+16.938,+0.978
1517202840,+3.45,+14.870,+15.650,+0.974
1517203740,+3.45,+14.784,+14.627,+0.971
1517204640,+3.45,+14.818,+15.393,+0.976
1517205540,+3.45,+14.809,+15.130,+0.977
1517206440,+3.45,+14.766,+14.883,+0.975
1517207340,+3.45,+14.740,+15.051,+0.976
1517208240,+3.45,+14.749,+14.923,+0.973
1517209140,+3.45,+14.706,+15.469,+0.977
1517210040,+3.45,+14.706,+14.823,+0.976
1517210940,+3.45,+14.689,+15.314,+0.977
1517211840,+3.45,+14.680,+15.353,+0.977
1517212740,+3.45,+14.663,+15.098,+0.976
1517213640,+3.45,+14.637,+15.226,+0.977
1517214540,+3.45,+14.611,+15.348,+0.975
1517215440,+3.45,+14.628,+15.156,+0.976
1517216340,+3.45,+14.637,+15.017,+0.974
1517217240,+3.45,+14.594,+14.994,+0.975
1517218140,+3.45,+14.525,+15.268,+0.977
1517219040,+3.45,+14.525,+15.143,+0.977
1517219940,+3.45,+14.507,+15.155,+0.976
1517220840,+3.45,+14.438,+15.273,+0.976
1517221740,+3.45,+14.430,+15.305,+0.977
1517222640,+3.45,+14.265,+15.441,+0.975
1517223540,+3.45,+14.239,+14.873,+0.977
1517224440,+3.45,+14.135,+15.171,+0.975
1517225340,+3.45,+14.066,+15.215,+0.977
1517226240,+3.45,+14.066,+14.922,+0.978
1517227140,+3.45,+13.874,+14.993,+0.977
1517228040,+3.45,+13.779,+14.721,+0.975
1517228940,+3.45,+13.700,+14.674,+0.976
1517229840,+3.45,+13.639,+14.389,+0.975
1517230740,+3.45,+13.447,+14.695,+0.975
1517231640,+3.45,+13.439,+14.585,+0.977
1517232540,+3.45,+13.404,+14.257,+0.976
1517233440,+3.45,+13.299,+14.186,+0.976
1517234340,+3.45,+13.220,+14.099,+0.976
1517235240,+3.45,+13.115,+14.121,+0.975
1517236140,+3.45,+13.088,+14.130,+0.977
1517237040,+3.45,+13.062,+13.735,+0.974
1517237940,+3.45,+12.983,+13.815,+0.977
1517238840,+3.45,+12.957,+13.620,+0.974
1517239740,+3.45,+12.869,+13.711,+0.976
1517240640,+3.45,+12.860,+13.631,+0.976
1517241540,+3.45,+12.851,+13.445,+0.976
1517242440,+3.45,+12.763,+13.460,+0.976
1517243340,+3.45,+12.825,+13.362,+0.974
1517244240,+3.45,+12.807,+13.325,+0.975
1517245140,+3.45,+12.807,+13.100,+0.975
1517246040,+3.45,+12.781,+13.279,+0.974
1517246940,+3.45,+12.763,+13.235,+0.974
1517247840,+3.45,+12.763,+13.148,+0.977
1517248740,+3.45,+12.737,+12.990,+0.975
1517249640,+3.45,+13.018,+13.146,+0.976
1517250540,+3.45,+13.141,+13.048,+0.977
1517251440,+3.45,+13.229,+13.412,+0.974
1517252340,+3.45,+13.421,+13.481,+0.975
1517253240,+3.45,+13.570,+13.699,+0.977
1517254140,+3.45,+13.796,+13.626,+0.977
1517255040,+3.45,+13.944,+13.740,+0.977
1517255940,+3.45,+14.118,+13.766,+0.977
1517256840,+3.45,+14.265,+13.770,+0.976
1517257740,+3.45,+14.204,+13.561,+0.975
1517258640,+3.45,+14.317,+13.423,+0.975
1517259540,+3.45,+14.559,+13.472,+0.976
1517260440,+3.45,+14.723,+13.558,+0.975
1517261340,+3.45,+14.680,+13.616,+0.975
1517262240,+3.45,+14.818,+13.664,+0.977
1517263140,+3.45,+14.878,+13.544,+0.974
1517264040,+3.45,+14.964,+13.697,+0.976
1517264940,+3.45,+15.085,+13.785,+0.975
1517265840,+3.45,+15.231,+13.774,+0.976
1517266740,+3.45,+15.231,+13.785,+0.976
1517267640,+3.45,+15.274,+13.727,+0.975
1517268540,+3.45,+15.308,+13.703,+0.974
1517269440,+3.45,+15.377,+13.766,+0.977
1517270340,+3.45,+15.522,+13.388,+0.974
1517271240,+3.45,+15.497,+13.383,+0.977
1517272140,+3.45,+15.402,+13.624,+0.976
1517273040,+3.45,+15.385,+13.752,+0.977
