7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1522802640,+3.47,+19.111,+12.974,+0.956
1522803540,+3.47,+18.624,+11.899,+0.955
1522804440,+3.47,+18.254,+12.520,+0.947
1522805340,+3.47,+18.338,+14.831,+0.947
1522806240,+3.47,+18.650,+19.822,+0.949
1522807140,+3.47,+18.893,+22.284,+0.942
1522808040,+3.47,+19.204,+23.756,+0.932
1522808940,+3.47,+19.430,+24.917,+0.934
1522809840,+3.47,+19.271,+26.335,+0.947
1522810740,+3.47,+19.396,+25.390,+0.951
1522811640,+3.47,+19.489,+26.250,+0.959
1522812540,+3.47,+19.874,+23.060,+0.975
1522813440,+3.47,+20.242,+21.495,+0.968
1522814340,+3.47,+20.493,+21.274,+0.969
1522815240,+3.48,+20.125,+21.016,+0.967
1522816140,+3.47,+19.924,+20.860,+0.972
1522817040,+3.48,+20.041,+20.290,+0.971
1522817940,+3.47,+20.016,+20.639,+0.968
1522818840,+3.47,+19.991,+20.220,+0.968
1522819740,+3.48,+19.815,+19.892,+0.969
1522820640,+3.48,+19.589,+19.636,+0.968
1522821540,+3.48,+19.380,+19.001,+0.963
1522822440,+3.48,+19.304,+18.755,+0.961
1522823340,+3.48,+19.346,+18.865,+0.967
1522824240,+3.48,+19.531,+18.698,+0.965
1522825140,+3.48,+19.422,+18.787,+0.965
1522826040,+3.48,+19.422,+18.785,+0.967
1522826940,+3.48,+19.740,+18.555,+0.968
1522827840,+3.48,+19.572,+18.786,+0.968
1522828740,+3.48,+19.396,+18.477,+0.964
1522829640,+3.48,+19.422,+18.561,+0.968
1522830540,+3.48,+19.371,+18.347,+0.965
1522831440,+3.48,+19.262,+18.163,+0.965
1522832340,+3.48,+19.187,+18.024,+0.964
1522833240,+3.48,+19.162,+17.983,+0.965
1522834140,+3.48,+19.078,+18.002,+0.964
1522835040,+3.48,+19.128,+17.931,+0.963
1522835940,+3.47,+18.977,+18.048,+0.965
1522836840,+3.48,+19.128,+17.840,+0.967
1522837740,+3.48,+19.069,+17.828,+0.967
1522838640,+3.48,+19.145,+17.940,+0.964
1522839540,+3.48,+19.170,+17.923,+0.964
1522840440,+3.48,+19.069,+17.607,+0.966
1522841340,+3.48,+19.078,+17.787,+0.968
1522842240,+3.48,+19.103,+17.654,+0.965
1522843140,+3.48,+19.111,+17.437,+0.964
1522844040,+3.48,+19.195,+17.635,+0.969
1522844940,+3.48,+19.069,+17.267,+0.966
1522845840,+3.48,+18.960,+17.029,+0.965
1522846740,+3.48,+19.002,+17.150,+0.967
1522847640,+3.48,+19.069,+17.104,+0.967
1522848540,+3.48,+18.960,+16.853,+0.966
1522849440,+3.48,+18.893,+16.757,+0.965
1522850340,+3.48,+18.985,+16.734,+0.965
1522851240,+3.48,+19.036,+16.737,+0.965
1522852140,+3.48,+18.977,+16.731,+0.965
1522853040,+3.48,+19.120,+16.819,+0.967
1522853940,+3.48,+19.128,+16.739,+0.966
1522854840,+3.48,+19.137,+16.554,+0.966
1522855740,+3.48,+19.195,+16.544,+0.965
1522856640,+3.48,+19.187,+16.451,+0.964
1522857540,+3.48,+18.943,+16.383,+0.965
1522858440,+3.48,+18.969,+16.176,+0.965
1522859340,+3.48,+19.120,+16.146,+0.967
1522860240,+3.48,+19.103,+16.261,+0.967
1522861140,+3.48,+19.137,+16.132,+0.965
1522862040,+3.48,+19.111,+16.081,+0.967
1522862940,+3.48,+19.053,+15.842,+0.962
1522863840,+3.48,+19.011,+15.916,+0.967
1522864740,+3.48,+19.011,+15.655,+0.963
1522865640,+3.48,+18.734,+15.596,+0.965
1522866540,+3.48,+18.759,+15.382,+0.962
1522867440,+3.48,+18.876,+15.288,+0.965
1522868340,+3.48,+18.851,+15.248,+0.964
1522869240,+3.48,+18.843,+15.162,+0.964
1522870140,+3.48,+18.818,+15.202,+0.967
1522871040,+3.48,+18.885,+15.055,+0.963
1522871940,+3.48,+18.826,+15.032,+0.965
1522872840,+3.48,+18.893,+15.023,+0.964
1522873740,+3.48,+18.860,+14.941,+0.964
1522874640,+3.48,+18.843,+14.917,+0.966
1522875540,+3.48,+18.792,+14.800,+0.964
1522876440,+3.47,+18.860,+14.702,+0.963
1522877340,+3.48,+18.818,+14.677,+0.965
1522878240,+3.48,+18.750,+14.598,+0.963
1522879140,+3.48,+19.019,+14.522,+0.964
1522880040,+3.48,+18.834,+14.454,+0.961
1522880940,+3.48,+18.977,+14.510,+0.966
1522881840,+3.48,+19.178,+14.283,+0.963
1522882740,+3.48,+18.860,+14.334,+0.961
1522883640,+3.48,+18.767,+14.274,+0.963
1522884540,+3.48,+18.725,+14.084,+0.962
1522885440,+3.48,+18.608,+14.005,+0.962
1522886340,+3.48,+18.633,+14.005,+0.964
1522887240,+3.48,+18.692,+14.130,+0.964
1522888140,+3.48,+19.145,+14.244,+0.964
1522889040,+3.48,+19.505,+14.909,+0.964
