7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1523478420,+3.49,+22.799, +5.342,+0.982
1523479320,+3.49,+22.841, +5.507,+0.984
1523480220,+3.49,+22.966, +4.915,+0.984
1523481120,+3.49,+23.100, +4.466,+0.983
1523482020,+3.49,+22.983, +5.248,+0.982
1523482920,+3.49,+22.833, +5.052,+0.982
1523483820,+3.49,+23.234, +3.886,+0.983
1523484720,+3.49,+24.901, +7.753,+0.983
1523485620,+3.49,+25.128, +7.515,+0.983
1523486520,+3.49,+25.027, +8.181,+0.983
1523487420,+3.49,+25.061, +7.550,+0.982
1523488320,+3.49,+25.078, +7.041,+0.982
1523489220,+3.49,+25.137, +7.259,+0.983
1523490120,+3.49,+25.221, +8.261,+0.983
1523491020,+3.49,+25.212, +7.435,+0.983
1523491920,+3.49,+25.221, +6.925,+0.982
1523492820,+3.49,+25.237, +6.734,+0.984
1523493720,+3.49,+24.952, +5.737,+0.981
1523494620,+3.49,+23.652, +3.890,+0.981
1523495520,+3.49,+24.121, +3.819,+0.984
1523496420,+3.49,+24.314, +5.011,+0.982
1523497320,+3.49,+24.490, +5.818,+0.983
1523498220,+3.49,+24.666, +6.388,+0.983
1523499120,+3.49,+24.599, +5.596,+0.984
1523500020,+3.49,+24.675, +6.054,+0.984
1523500920,+3.49,+24.666, +5.895,+0.983
1523501820,+3.49,+24.641, +5.386,+0.984
1523502720,+3.49,+24.515, +5.692,+0.984
1523503620,+3.49,+24.398, +4.377,+0.985
1523504520,+3.49,+24.205, +5.164,+0.985
1523505420,+3.49,+23.904, +4.969,+0.984
1523506320,+3.49,+23.217, +4.968,+0.985
1523507220,+3.49,+22.933, +5.295,+0.985
1523508120,+3.49,+22.783, +5.009,+0.985
1523509020,+3.49,+22.674, +5.039,+0.985
1523509920,+3.50,+22.507, +5.263,+0.984
1523510820,+3.49,+22.883, +2.894,+0.986
1523511720,+3.49,+22.749, +3.371,+0.984
1523512620,+3.49,+22.381, +6.166,+0.983
1523513520,+3.49,+22.365, +5.841,+0.983
1523514420,+3.49,+22.164, +5.655,+0.982
1523515320,+3.49,+21.897, +4.941,+0.983
1523516220,+3.49,+21.279, +4.883,+0.983
1523517120,+3.49,+20.961, +4.231,+0.983
1523518020,+3.49,+21.095, +5.010,+0.983
1523518920,+3.49,+20.986, +4.743,+0.983
1523519820,+3.49,+20.619, +4.595,+0.983
1523520720,+3.49,+20.501, +5.207,+0.983
1523521620,+3.49,+20.000, +3.928,+0.984
1523522520,+3.49,+19.815, +2.990,+0.983
1523523420,+3.49,+19.723, +2.570,+0.981
1523524320,+3.49,+19.673, +1.271,+0.980
1523525220,+3.49,+19.807, +3.408,+0.985
1523526120,+3.49,+19.732, +4.506,+0.984
1523527020,+3.49,+19.631, +4.694,+0.983
1523527920,+3.49,+19.698, +4.373,+0.985
1523528820,+3.49,+19.338, +3.008,+0.985
1523529720,+3.49,+18.952, +2.481,+0.983
1523530620,+3.49,+18.616, +1.846,+0.984
1523531520,+3.49,+18.826, +1.365,+0.982
1523532420,+3.49,+18.591, +3.153,+0.986
1523533320,+3.49,+18.557, +2.797,+0.985
1523534220,+3.49,+18.582, +3.917,+0.984
1523535120,+3.49,+18.540, +4.393,+0.985
1523536020,+3.49,+18.423, +4.191,+0.985
1523536920,+3.49,+18.288, +3.939,+0.985
1523537820,+3.49,+18.111, +3.728,+0.985
1523538720,+3.49,+17.934, +3.999,+0.985
1523539620,+3.49,+17.673, +3.408,+0.985
1523540520,+3.49,+17.309, +2.518,+0.985
1523541420,+3.49,+17.428, +3.380,+0.985
1523542320,+3.49,+17.250, +2.509,+0.984
1523543220,+3.49,+17.267, +1.456,+0.983
1523544120,+3.49,+17.030, +1.842,+0.984
1523545020,+3.49,+16.979, +3.143,+0.983
1523545920,+3.49,+16.987, +3.206,+0.985
1523546820,+3.48,+17.047, +3.021,+0.984
1523547720,+3.49,+17.233, +4.120,+0.985
1523548620,+3.48,+17.140, +4.194,+0.983
1523549520,+3.48,+17.064, +4.017,+0.984
1523550420,+3.48,+16.928, +3.919,+0.985
1523551320,+3.48,+16.725, +3.597,+0.985
1523552220,+3.48,+16.784, +3.692,+0.985
1523553120,+3.48,+16.843, +4.126,+0.984
1523554020,+3.49,+16.979, +3.395,+0.986
1523554920,+3.48,+18.187, +1.910,+0.984
1523555820,+3.48,+18.608, +0.121,+0.963
1523556720,+3.48,+18.221, +0.938,+0.960
1523557620,+3.48,+18.103, +4.631,+0.981
1523558520,+3.48,+18.212, +4.946,+0.983
1523559420,+3.48,+18.372, +5.745,+0.983
1523560320,+3.48,+18.473, +5.394,+0.984
1523561220,+3.48,+18.675, +5.898,+0.982
1523562120,+3.48,+18.818, +5.780,+0.982
1523563020,+3.48,+19.053, +6.202,+0.982
1523563920,+3.48,+19.061, +6.332,+0.982
1523564820,+3.48,+19.187, +5.719,+0.983
