7392-321202
OS REV: 1.11 Sensor Cal: 1479403199
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1524426120,+3.48,+22.047, +8.379,+0.979
1524427020,+3.48,+22.306, +8.501,+0.983
1524427920,+3.48,+22.590, +8.465,+0.982
1524428820,+3.48,+22.674, +8.577,+0.982
1524429720,+3.48,+22.916, +8.908,+0.982
1524430620,+3.48,+23.109, +9.091,+0.982
1524431520,+3.48,+23.268, +9.086,+0.981
1524432420,+3.48,+23.334, +9.317,+0.981
1524433320,+3.48,+23.560, +9.408,+0.982
1524434220,+3.48,+23.744, +9.256,+0.982
1524435120,+3.48,+23.945, +9.497,+0.982
1524436020,+3.48,+24.012, +9.835,+0.982
1524436920,+3.48,+24.038, +9.687,+0.980
1524437820,+3.48,+24.155, +9.467,+0.983
1524438720,+3.48,+24.247, +9.542,+0.984
1524439620,+3.48,+24.264, +8.915,+0.981
1524440520,+3.48,+24.297, +8.547,+0.983
1524441420,+3.49,+24.448, +7.345,+0.984
1524442320,+3.49,+24.507, +7.991,+0.982
1524443220,+3.49,+24.557,+10.267,+0.980
1524444120,+3.49,+24.582,+10.620,+0.982
1524445020,+3.49,+24.524, +9.796,+0.981
1524445920,+3.49,+24.440, +8.379,+0.981
1524446820,+3.49,+24.582, +9.641,+0.983
1524447720,+3.49,+24.515, +8.934,+0.982
1524448620,+3.49,+24.440, +7.698,+0.981
1524449520,+3.49,+24.373, +8.311,+0.983
1524450420,+3.49,+24.297, +8.927,+0.982
1524451320,+3.49,+24.239, +8.235,+0.983
1524452220,+3.49,+24.205, +7.364,+0.983
1524453120,+3.49,+24.146, +6.179,+0.982
1524454020,+3.49,+24.038, +7.150,+0.982
1524454920,+3.49,+23.987, +6.941,+0.981
1524455820,+3.49,+23.853, +6.802,+0.982
1524456720,+3.49,+23.703, +8.021,+0.981
1524457620,+3.49,+23.619, +8.271,+0.980
1524458520,+3.49,+23.552, +7.391,+0.983
1524459420,+3.49,+23.644, +6.480,+0.981
1524460320,+3.49,+23.686, +5.933,+0.984
1524461220,+3.49,+23.611, +6.740,+0.982
1524462120,+3.49,+23.527, +7.580,+0.981
1524463020,+3.49,+23.460, +7.888,+0.981
1524463920,+3.49,+23.376, +8.387,+0.982
1524464820,+3.49,+23.284, +8.747,+0.981
1524465720,+3.49,+23.209, +8.064,+0.982
1524466620,+3.49,+23.134, +8.941,+0.982
1524467520,+3.49,+23.075, +8.415,+0.982
1524468420,+3.49,+23.058, +7.761,+0.981
1524469320,+3.49,+22.975, +7.359,+0.981
1524470220,+3.49,+22.849, +7.644,+0.981
1524471120,+3.49,+22.707, +7.830,+0.982
1524472020,+3.49,+22.682, +7.218,+0.982
1524472920,+3.49,+22.657, +6.865,+0.982
1524473820,+3.49,+22.649, +6.363,+0.983
1524474720,+3.49,+22.707, +5.484,+0.984
1524475620,+3.49,+22.641, +7.001,+0.982
1524476520,+3.49,+22.557, +6.825,+0.983
1524477420,+3.49,+22.582, +5.954,+0.983
1524478320,+3.49,+22.448, +6.856,+0.982
1524479220,+3.49,+22.440, +7.010,+0.983
1524480120,+3.49,+22.540, +6.219,+0.982
1524481020,+3.49,+22.574, +6.545,+0.983
1524481920,+3.49,+22.457, +7.136,+0.982
1524482820,+3.49,+22.440, +7.165,+0.982
1524483720,+3.49,+22.407, +6.915,+0.984
1524484620,+3.49,+22.482, +6.114,+0.982
1524485520,+3.49,+22.423, +6.986,+0.982
1524486420,+3.49,+22.381, +7.047,+0.981
1524487320,+3.49,+22.415, +6.271,+0.982
1524488220,+3.49,+22.239, +6.737,+0.981
1524489120,+3.49,+21.997, +6.514,+0.982
1524490020,+3.49,+21.437, +6.392,+0.982
1524490920,+3.49,+21.003, +6.318,+0.982
1524491820,+3.49,+20.777, +6.326,+0.982
1524492720,+3.49,+20.719, +5.827,+0.982
1524493620,+3.49,+20.527, +6.053,+0.982
1524494520,+3.49,+20.694, +5.578,+0.983
1524495420,+3.49,+20.736, +5.709,+0.983
1524496320,+3.49,+20.827, +5.816,+0.982
1524497220,+3.49,+20.886, +5.517,+0.984
1524498120,+3.49,+20.953, +4.950,+0.984
1524499020,+3.49,+20.986, +4.429,+0.984
1524499920,+3.49,+21.003, +3.953,+0.984
1524500820,+3.49,+21.053, +3.463,+0.985
1524501720,+3.49,+21.095, +4.640,+0.983
1524502620,+3.49,+21.178, +4.824,+0.984
1524503520,+3.49,+20.443, +8.988,+0.978
1524504420,+3.49,+20.184, +9.023,+0.979
1524505320,+3.49,+20.685, +8.964,+0.979
1524506220,+3.49,+20.209, +9.054,+0.979
1524507120,+3.49,+20.702, +8.930,+0.978
